DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igfxcmrt64.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CM_AVS_STATE_MSG_EX@@QEAA@XZ                                                                      0xb8f896f8                                         
?EnqueueVebox@CmQueue_RT@@UEAAHPEAVCmVebox@@AEAPEAVCmEvent@@@Z                                       0x96dfbe7d                                         
?EnqueueWithGroup@CmQueue_RT@@UEAAHPEAVCmTask@@AEAPEAVCmEvent@@PEBVCmThreadGroupSpace@@@Z            0x4b87ca5f                                         
?EnqueueWithGroupFast@CmQueue_RT@@UEAAHPEAVCmTask@@AEAPEAVCmEvent@@PEBVCmThreadGroupSpace@@@Z        0xbf30a14d                                         
?EnqueueWithHints@CmQueue_RT@@UEAAHPEAVCmTask@@AEAPEAVCmEvent@@I@Z                                   0x993db053                                         
?EnqueueWriteBuffer@CmQueue_RT@@UEAAHPEAVCmBuffer@@_KPEBE1PEAVCmEvent@@AEAPEAV3@I@Z                  0x29cbf433                                         
?FlushPrintBuffer@CmDevice_RT@@UEAAHXZ                                                               0xb4834068                                         
?FlushPrintBufferIntoFile@CmDevice_RT@@UEAAHPEBD@Z                                                   0x9ed6a965                                         
?GetCaps@CmDevice_RT@@UEAAHW4_CM_DEVICE_CAP_NAME@@AEA_KPEAX@Z                                        0xa3f87e29                                         
?GetD3DDeviceManager@CmDevice_RT@@UEAAHAEAPEAUIDirect3DDeviceManager9@@@Z                            0xf5bb477e                                         
?GetSurface2DInfo@CmDevice_RT@@UEAAHIIW4_D3DFORMAT@@AEAI1@Z                                          0xb5cbbe33                                         
?GetVISAVersion@CmDevice_RT@@UEAAHAEAI0@Z                                                            0x798d8320                                         
?InitPrintBuffer@CmDevice_RT@@UEAAH_K@Z                                                              0x9616a64c                                         
?LoadProgram@CmDevice_RT@@UEAAHPEAXIAEAPEAVCmProgram@@PEBD@Z                                         0xf51e6e4c                                         
