DLL Path: C:\Windows\System32\uwfcfgmgmt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CDevice@@QEAA@XZ                                                                                  0xcfeb4190                                         
?IsOverlayFileExist@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                            0xc00a61c3                                         
?IsUserAdmin@@YAJPEA_N@Z                                                                             0xd64ddb69                                         
?IsValidDriveLetter@@YA_NPEBG@Z                                                                      0x56cf1d39                                         
?IsValidOverlayConfig@@YA_NW4_UWF_CONFIG_OVERLAY_TYPE@@K@Z                                           0x17b8ca27                                         
?IsValidVolumeName@@YA_NPEBG@Z                                                                       0x3e63e8a8                                         
?LOCK@CUwfProvider@@QEAAXXZ                                                                          0x805401ef                                         
?LookupShutdownPrivilegeInCurThreadToken@CUwfManagement@@QEAAJAEA_N@Z                                0xa7aaa01d                                         
?Open@CUwfRegKey@@QEAAJPEAUHKEY__@@PEBGK@Z                                                           0x9883b911                                         
?Open@CUwfStaticConfiguration@@QEAAJ_NK0PEAVCUwfConfiguration@@@Z                                    0x81040cc8                                         
?OpenKey@CUwfConfiguration@@QEAAJPEAUHKEY__@@PEBGKAEAVCUwfRegKey@@@Z                                 0xf519a9c4                                         
?OpenSubKey@CUwfRegKey@@QEAAJPEBGKAEAV1@@Z                                                           0x6e7518f8                                         
?OpenSubKeyAt@CUwfRegKey@@QEAAJKKAEAV1@@Z                                                            0xe8fff53a                                         
?OpenTransacted@CUwfRegKey@@QEAAJPEAUHKEY__@@PEBGKPEAX@Z                                             0x71687148                                         
?ParsePathSpec@@YAJPEBGPEAGK1K1K@Z                                                                   0xa2c95693                                         
?ParseVolumeGUID@@YAJPEBGPEAGK@Z                                                                     0xd5a738c4                                         
?QueryBinaryValue@CUwfRegKey@@QEAAJPEBGPEAPEAEPEAK@Z                                                 0x692050a4                                         
?QueryDWORDValue@CUwfRegKey@@QEAAJPEBGPEAK@Z                                                         0x6f7dcc4e                                         
?QueryMultiSzValue@CUwfRegKey@@QEAAJPEBGPEAPEAU_MULTISZ@@@Z                                          0xa5ac45dd                                         
?QueryQWORDValue@CUwfRegKey@@QEAAJPEBGPEA_K@Z                                                        0x38b3833a                                         
?QuerySzValue@CUwfRegKey@@QEAAJPEBGPEAPEAG@Z                                                         0x0c139a2d                                         
?ReOpen@CUwfStaticConfiguration@@QEAAJK@Z                                                            0x0f03c349                                         
?ReOpen@CUwfStaticVolumeConfiguration@@QEAAJPEAUHKEY__@@@Z                                           0x1e24d110                                         
?RegReadValue@@YAJPEAUHKEY__@@PEBGKPEAPEAEPEAK@Z                                                     0xccfcc3ee                                         
?ReleaseStaticVolumeConfiguration@CUwfStaticConfiguration@@QEAAXXZ                                   0x157fdcf4                                         
?RemoveAllFileExclusions@CUwfStaticVolumeConfiguration@@QEAAJXZ                                      0x39105b99                                         
?RemoveFileExclusion@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                      0x63f54c53                                         
?RemoveRegKeyExclusion@CUwfStaticConfiguration@@QEAAJPEBG@Z                                          0x7ac00bc2                                         
?ResetBindingConfiguration@CUwfStaticVolumeConfiguration@@QEAAJXZ                                    0x6be51efb                                         
?ResetFileExclusions@CUwfStaticVolumeConfiguration@@QEAAJXZ                                          0x8cd1e9b5                                         
?ResetUwfSettings@CUwfConfiguration@@QEAAJXZ                                                         0x7361eccb                                         
