DLL Path: C:\Windows\System32\untfs.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?QueryNextEntry@NTFS_ATTRIBUTE_LIST@@QEBAEPEAU_ATTR_LIST_CURR_ENTRY@@PEAKPEAVBIG_INT@@PEAU_MFT_SEGMENT_REFERENCE@@PEAGPEAVWSTRING@@@Z 0xde7face9                                         
?QueryNumberOfExtents@NTFS_EXTENT_LIST@@QEBAKXZ                                                      0xe5154006                                         
?QuerySectorsInElementaryStructures@NTFS_SA@@SAKPEAVDP_DRIVE@@KKKKE@Z                                0xdb64877f                                         
?QuerySegmentReference@NTFS_MFT_INFO@@SA?AU_MFT_SEGMENT_REFERENCE@@PEAX@Z                            0x3637481f                                         
?QueryVolumeFlagsAndLabel@NTFS_SA@@QEAAGPEAE00PEAVWSTRING@@@Z                                        0xf7a8812e                                         
?Read@NTFS_ATTRIBUTE@@QEAAEPEAXVBIG_INT@@KPEAK@Z                                                     0x739ee211                                         
?Read@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z                                                          0x23392c1e                                         
?Read@NTFS_FRS_STRUCTURE@@UEAAEXZ                                                                    0x84ea4a48                                         
?Read@NTFS_MFT_FILE@@UEAAEXZ                                                                         0x637ab293                                         
?Read@NTFS_SA@@QEAAEPEAVMESSAGE@@@Z                                                                  0xca9c11f6                                         
?Read@NTFS_SA@@UEAAEXZ                                                                               0xd05bb981                                         
?ReadAgain@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z                                                     0x1536427e                                         
?ReadAt@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z                                                        0x3ab534b3                                         
?ReadList@NTFS_ATTRIBUTE_LIST@@QEAAEXZ                                                               0x1f170854                                         
?ReadNext@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z                                                      0x5643c67d                                         
?ReadWithAltExtents@NTFS_ATTRIBUTE@@QEAAEPEAXVBIG_INT@@KPEAKPEAVNTFS_EXTENT_LIST@@@Z                 0x3016e992                                         
?Relocate@NTFS_CLUSTER_RUN@@QEAAXVBIG_INT@@@Z                                                        0x8cd5a9df                                         
?ResetIterator@NTFS_INDEX_TREE@@QEAAEE@Z                                                             0x8965078e                                         
?ResetIterator@NTFS_INDEX_TREE@@QEAAEPEBU_INDEX_ENTRY@@E@Z                                           0xe714a322                                         
?Resize@NTFS_ATTRIBUTE@@UEAAEVBIG_INT@@PEAVNTFS_BITMAP@@@Z                                           0x13adba54                                         
?SafeQueryAttribute@NTFS_FRS_STRUCTURE@@QEAAEKPEAVNTFS_ATTRIBUTE@@0PEAVWSTRING@@@Z                   0x04a5c988                                         
?Save@NTFS_INDEX_TREE@@QEAAEPEAVNTFS_FILE_RECORD_SEGMENT@@@Z                                         0xeb44fa01                                         
?SetSparse@NTFS_ATTRIBUTE@@UEAAEVBIG_INT@@PEAVNTFS_BITMAP@@E@Z                                       0x936714e1                                         
?SetVolumeFlag@NTFS_SA@@QEAAEGPEAE@Z                                                                 0xde2772e9                                         
?TakeCensus@NTFS_SA@@QEAAEPEAVNTFS_MASTER_FILE_TABLE@@KPEAUNTFS_CENSUS_INFO@@@Z                      0xc8bc0a23                                         
?Write@NTFS_ATTRIBUTE@@UEAAEPEBXVBIG_INT@@KPEAKPEAVNTFS_BITMAP@@@Z                                   0xfc3681a8                                         
?Write@NTFS_BITMAP@@QEAAEPEAVNTFS_ATTRIBUTE@@PEAV1@@Z                                                0x7afc2c94                                         
?Write@NTFS_FILE_RECORD_SEGMENT@@UEAAEXZ                                                             0x659c02ac                                         
?Write@NTFS_FRS_STRUCTURE@@QEAAEXZ                                                                   0xae87a3b3                                         
?WriteModified@NTFS_BITMAP@@QEAAEPEAVNTFS_ATTRIBUTE@@PEAV1@@Z                                        0x9631bf55                                         
?WriteRemainingBootCode@NTFS_SA@@QEAAEXZ                                                             0x5205d635                                         
Chkdsk                                                                                               0xabbf007d                                         
ChkdskEx                                                                                             0x97811d1a                                         
CreateFormatCorruptionRecordContext                                                                  0xeca60d3b                                         
DeleteFormatCorruptionRecordContext                                                                  0x5e6cdb5a                                         
Extend                                                                                               0xb18fcccd                                         
Format                                                                                               0xb341208e                                         
FormatCorruptionRecordA                                                                              0xcce344a3                                         
FormatCorruptionRecordW                                                                              0xcce344b9                                         
FormatEx                                                                                             0x880b856b                                         
GetFilesystemInformation                                                                             0x23f50610                                         
NtfsUpcaseCompare                                                                                    0x0422e5a8                                         
Recover                                                                                              0x9ebe761b                                         
SetOriginalVolumeName                                                                                0xdb3aaf9f                                         
SetWriteViewCacheVolumeName                                                                          0xcfbfd124                                         
