DLL Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_3e3cdd9b8f143aef\igdgmm32.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0GmmClientContext@GmmLib@@QAE@ABV01@@Z                                                             0xaa6ff81b                                         
?CreateTiledResource@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z 0x0f0766ce                                         
?DeAllocate2@GmmClientContext@GmmLib@@UAEJPAT_GMM_DESTROYALLOCATION2@@@Z                             0x05678b26                                         
?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UAGXPAVGmmPageTableMgr@2@@Z                        0x847e473b                                         
?DestroyPageTblMgrObject@GmmClientContext@GmmLib@@UAGXPAVGmmPageTableMgr@2@PAU_GmmClientAllocationCallbacks_@@@Z 0x6f56bf65                                         
?DestroyPool@GmmClientContext@GmmLib@@UAGJPAX@Z                                                      0xffe6cdef                                         
?DestroyResInfoObject@GmmClientContext@GmmLib@@UAGXPAVGmmResourceInfoWin@2@@Z                        0x135a52c3                                         
?DestroyResInfoObject@GmmClientContext@GmmLib@@UAGXPAVGmmResourceInfoWin@2@PAU_GmmClientAllocationCallbacks_@@@Z 0xa81d9ded                                         
?DestroyResource@GmmClientContext@GmmLib@@UAGJPAXIPA_K_K@Z                                           0x8faf1fab                                         
?DestroyTiledResource@GmmClientContext@GmmLib@@QAGETGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@IPAU_GmmClientAllocationCallbacks_@@@Z 0xf6cdb12a                                         
?DestroyTiledResource@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z 0x09e31da4                                         
?EnhancedBufferMap@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@IQAPAUGMM_ENHANCED_BUFFER_INFO_REC@@@Z 0x69b096c2                                         
?Evict@GmmClientContext@GmmLib@@UAGJIPBQAXIAA_K@Z                                                    0x5a556897                                         
?EvictPageTablePool@GmmPageTableMgr@GmmLib@@UAEXPAIH@Z                                               0x34b4e5b1                                         
?FreeGSCBuffer@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAXTGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x3460e340                                         
?FreeGpuVirtualAddress@GmmClientContext@GmmLib@@UAEJPBU_GMM_FREEGPUVIRTUALADDRESS@@@Z                0xd109855c                                         
?FreeHeapVA@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAUGMM_HEAP_REC@@_K1@Z                  0x279a262a                                         
?FreeMemory@GmmClientContext@GmmLib@@UAGJIPBQAXIPA_K_K@Z                                             0xcba26590                                         
?FreeTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAUGMM_UMD_SYNCCONTEXT_REC@@PBTGMM_DDI_FREEGPUVIRTUALADDRSS_INT@@E@Z 0x219a4069                                         
?GetAllocRecycler@GmmClientContext@GmmLib@@QAEPAXXZ                                                  0x15da0577                                         
?GetAuxL3TableAddr@GmmPageTableMgr@GmmLib@@UAE_KXZ                                                   0xf916be6f                                         
?GetCachePolicyElement@GmmClientContext@GmmLib@@UAG?AUGMM_CACHE_POLICY_ELEMENT_REC@@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z 0x8a26667c                                         
?GetCachePolicyTlbElement@GmmClientContext@GmmLib@@UAG?AUGMM_CACHE_POLICY_TBL_ELEMENT_REC@@I@Z       0x773d56ec                                         
?GetCachePolicyUsage@GmmClientContext@GmmLib@@UAGPAUGMM_CACHE_POLICY_ELEMENT_REC@@XZ                 0x66af8974                                         
?GetCacheSizes@GmmClientContext@GmmLib@@UAGXPAUGMM_CACHE_SIZES_REC@@@Z                               0x5e01bbd2                                         
?GetClientContext@GmmPageTableMgr@GmmLib@@UAEPAVGmmClientContext@2@XZ                                0x0ce4a4b7                                         
?GetClientContextAilStatus@GmmClientContext@GmmLib@@QAEIXZ                                           0x43684671                                         
?GetClientType@GmmClientContext@GmmLib@@UAG?AW4GMM_CLIENT_ENUM@@XZ                                   0xb1ad586f                                         
?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3D12DDI_SWIZZLE_PATTERN_DESC_0004@@@Z 0xbea0bc6c                                         
?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3D12DDI_SWIZZLE_PATTERN_DESC_0022@@@Z 0xc326dcac                                         
?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3DWDDM2_0DDI_SWIZZLE_PATTERN_DESC@@@Z 0x2dcd2ff3                                         
?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3DWDDM2_2DDI_SWIZZLE_PATTERN_DESC@@@Z 0xda0506f5                                         
?GetDebugAllocationInfo@GmmClientContext@GmmLib@@UAGJIPBQAXPAIPATGMM_GPU_VA_INFO@@1PATGMM_KMT_ALLOCATION_INFO@@@Z 0xc1d4747e                                         
?GetDeviceCallback@GmmClientContext@GmmLib@@QAEPAU_GMM_DEVICE_CALLBACKS_INT@@XZ                      0x0944e7a5                                         
?GetExtendedTextureAlign@GmmClientContext@GmmLib@@UAGXIAAU__TEX_ALIGNMENT@@@Z                        0x37acaa8a                                         
?GetFreeSpeedFrameIndex@GmmClientContext@GmmLib@@UAEKXZ                                              0x4b9c260f                                         
?GetGSCBuffer@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAPAXPAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x0b0fc689                                         
?GetGmmAllocFromDxgkAlloc@GmmClientContext@GmmLib@@QAGPAUGMM_LEGACY_RECYCLER_MAP_ELEMENT@@XZ         0xd74762de                                         
?GetGmmAllocFromRtResource@GmmClientContext@GmmLib@@QAGPAUGMM_LEGACY_RECYCLER_MAP_ELEMENT@@XZ        0xf02ce0b3                                         
?GetGpuVA@GmmClientContext@GmmLib@@UAG_KPAX@Z                                                        0xc4ae788e                                         
?GetHeap32Base@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0PAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0xfa29537d                                         
?GetInternalGpuVaRangeLimit@GmmClientContext@GmmLib@@UAG_KXZ                                         0x81341326                                         
?GetLegacyRecycler@GmmClientContext@GmmLib@@QAGPAXXZ                                                 0x9d1aa383                                         
?GetLegacyRecyclerOrigPfns@GmmClientContext@GmmLib@@QAGPATGMM_DEVICE_CB_PTRS@@XZ                     0xfab0c9e3                                         
?GetLibContext@GmmClientContext@GmmLib@@UAEPAVContext@2@XZ                                           0x32d64d88                                         
?GetLibContext@GmmPageTableMgr@GmmLib@@AAEPAVContext@2@XZ                                            0x3d93919b                                         
?GetLogicalTileShape@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@IPAI00@Z                       0x1b1b58f8                                         
?GetLosslessCompressionType@GmmClientContext@GmmLib@@UAG?AW4GMM_E2ECOMP_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z 0x0dcd6145                                         
?GetMaxGpuVirtualAddressBits@GmmClientContext@GmmLib@@UAGIPAVGmmResourceInfoWin@2@@Z                 0xcdcf746e                                         
?GetMediaSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z   0x8dfde0b1                                         
?GetOverrideGfxPartition@GmmClientContext@GmmLib@@AAE?AU__GMM_GFX_PARTITIONING@@PAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x4c6aad8d                                         
?GetPlatformInfo@GmmClientContext@GmmLib@@UAGAAU__GMM_PLATFORM_RESOURCE_REC@@XZ                      0x30c48efb                                         
?GetSLMaddressRange@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x1ed8cf2e                                         
?GetSetGfxPartitionProcessSingleton@GmmClientContext@GmmLib@@AAEXTGMM_ESCAPE_HANDLE_REC@@0PAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x1da8251f                                         
?GetSetProcessGfxPartition@GmmClientContext@GmmLib@@AAEITGMM_ESCAPE_HANDLE_REC@@0PAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x28b568bd                                         
?GetSiblingStreamParent@GmmClientContext@GmmLib@@QAEPAVGmmPool@2@XZ                                  0xd80b7cdc                                         
?GetSkuTable@GmmClientContext@GmmLib@@UAGABU_SKU_FEATURE_TABLE@@XZ                                   0xc3b0c067                                         
?GetSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z        0x2e22fdd1                                         
?GetSurfaceStateFormat@GmmClientContext@GmmLib@@UAG?AW4GMM_SURFACESTATE_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z 0x2a38532b                                         
?GetSurfaceStateL1CachePolicy@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z        0x15462404                                         
?GetSurfaceStateL2CachePolicy@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z        0xd2f40965                                         
?GetSwizzleDesc@GmmClientContext@GmmLib@@UAGPBU_SWIZZLE_DESCRIPTOR@@W4_EXTERNAL_SWIZZLE_NAME@@W4_EXTERNAL_RES_TYPE@@E_N@Z 0x17c17eb8                                         
?GetTRL3TableAddr@GmmPageTableMgr@GmmLib@@UAE_KXZ                                                    0x9d333a07                                         
?GetTileGfxAddress@GmmClientContext@GmmLib@@UAG_KPAVGmmResourceInfoWin@2@IIII@Z                      0xcd646cbb                                         
?GetTileShape@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAVGmmResourceInfoWin@2@PAI11@Z       0x6f3854f2                                         
?GetTrashPageGfxAddress@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0xab0b964f                                         
?GetUseGlobalGtt@GmmClientContext@GmmLib@@UAGEW4GMM_HW_COMMAND_STREAMER_ENUM@@W4GMM_HW_COMMAND_ENUM@@PAT__D3DDDI_PATCHLOCATIONLIST_DRIVERID@@@Z 0xb6a0110f                                         
?GmmDisableLegacyRecycler@GmmClientContext@GmmLib@@UAGXPAU_GMM_DEVICE_CALLBACKS_PPFN@@@Z             0x2a09d11a                                         
?GmmEnableLegacyRecycler@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAU_GMM_DEVICE_CALLBACKS_PPFN@@@Z 0x799e1bb8                                         
?GmmGetAIL@GmmClientContext@GmmLib@@UAGPB_KXZ                                                        0x41ef0c43                                         
?GmmLegacyRecyclerPreDeallocate@GmmClientContext@GmmLib@@UAGXIPA_K_KP6GJPAXPAU_D3DDDICB_LOCK2@@@Z@Z  0x24fd728c                                         
?GmmLogUmdEvent@GmmClientContext@GmmLib@@UAGXPAU_GMM_ARG_LOG_UMD_EVENT@@@Z                           0x34e08341                                         
?GmmReverseEscapeListener@GmmClientContext@GmmLib@@UAEJXZ                                            0x76b0236c                                         
?GmmSetAIL@GmmClientContext@GmmLib@@UAGXPAUGMM_AIL_STRUCT@@@Z                                        0x54b7edf3                                         
?GmmSetCsrHandle@GmmPageTableMgr@GmmLib@@UAEXPAX@Z                                                   0x2542317f                                         
?GmmSetDeviceInfo@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAU_GMM_DEVICE_INFO_REC@@@Z       0xb59870fd                                         
?GmmSetResidencyPriority@GmmClientContext@GmmLib@@UAGJPAXI@Z                                         0xdb246129                                         
?InitContextAuxTableRegister@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PAXW4_GMM_ENGINE_TYPE@@@Z 0x70bcd43e                                         
?InitContextTRTableRegister@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PAXW4_GMM_ENGINE_TYPE@@@Z 0x3246f4b6                                         
?InitGpuBBQueueCallbacks@GmmPageTableMgr@GmmLib@@UAEXPAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@@Z       0x871077d3                                         
?IsCompressed@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z                            0x8e91c9bd                                         
?IsNonTrivialResourcePoolingEnabled@GmmClientContext@GmmLib@@UAG_NXZ                                 0x29288d6a                                         
?IsP0xx@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z                                  0xaa895a98                                         
?IsPlanar@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z                                0x6a599386                                         
?IsUVPacked@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z                              0x259b0f7b                                         
?IsYUVPacked@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z                             0xaea4f454                                         
?MakeResident@GmmClientContext@GmmLib@@UAGJU__GMM_PAGING_QUEUE_HANDLE@@IPBQAXIAA_K2@Z                0xc45d2262                                         
?MapCpuVA@GmmClientContext@GmmLib@@UAGJPAXPAPAX@Z                                                    0x7a4580e2                                         
?MapGpuVirtualAddress@GmmClientContext@GmmLib@@UAEJPAU_GMM_MAP_GPUVIRTUALADDRESS@@@Z                 0x13ecaf52                                         
?MapTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAU_GMM_MAP_TR_GPUVIRTUALADDRESS@@E@Z            0x4bb70ac9                                         
?MapTileInstancedGpuVirtualAddress@GmmClientContext@GmmLib@@UAEJPAU_GMM_MAP_GPUVA_TILE_INSTANCED_RESOURCE@@@Z 0xd404e4cf                                         
?Offer@GmmClientContext@GmmLib@@UAGJIPBQAXW4GMM_OFFER_PRIORITY@@I@Z                                  0x07281f00                                         
?OverrideGfxPartition@GmmClientContext@GmmLib@@UAG?AU__GMM_GFX_PARTITIONING@@PAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0xfc7f1623                                         
?OverrideGfxPartition@GmmClientContext@GmmLib@@UAG?AU__GMM_GFX_PARTITIONING@@XZ                      0x27b4669e                                         
?PigmsFreeGpuVa@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0_K1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x130561a0                                         
?PigmsMapGpuVA@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0_KIPAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0xbc3b28b0                                         
?PigmsReserveGpuVA@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x12214fae                                         
?PoolTrim@GmmClientContext@GmmLib@@UAGJPAXIAA_K@Z                                                    0xe6e5e196                                         
?QueryCpuVisibleLMEMBytes@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@PA_K2@Z 0x46251829                                         
?Reclaim@GmmClientContext@GmmLib@@UAGJU__GMM_PAGING_QUEUE_HANDLE@@IPBQAXPAW4GMM_RECLAIM_RESULT@@PAHAA_K@Z 0x024a7c38                                         
?ResDestroySvmAllocation@GmmClientContext@GmmLib@@UAGETGMM_ESCAPE_HANDLE_REC@@0ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0xbebc9699                                         
?ResMapGpuVA@GmmClientContext@GmmLib@@UAGJAAUGMM_RES_MAP_GPUVA_ARG@@@Z                               0x79dc5686                                         
?ResMemcpy@GmmClientContext@GmmLib@@UAGXPAX0@Z                                                       0xe629a29e                                         
?ResUpdateAfterSharedOpen@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAX0IPAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x5c98438b                                         
?ReserveGpuVirtualAddress@GmmClientContext@GmmLib@@UAEJPAUD3DDDI_RESERVEGPUVIRTUALADDRESS@@@Z        0x20e3cd5b                                         
?ReserveSVMGPUVA@GmmClientContext@GmmLib@@AAE?AW4GMM_STATUS_ENUM@@PAU_GMM_DEVICE_CALLBACKS_INT@@PAU__GMM_GFX_PARTITIONING@@@Z 0x8fc53318                                         
?ReserveTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAUGMM_UMD_SYNCCONTEXT_REC@@PAUD3DDDI_RESERVEGPUVIRTUALADDRESS@@E@Z 0x0f01bd13                                         
?ResetStream@GmmClientContext@GmmLib@@UAGJPAXPA_K_K@Z                                                0xb5ecec3f                                         
?SetForceCpuWbAIL@GmmClientContext@GmmLib@@UAEXXZ                                                    0xe3149c78                                         
?SpeedFrameAlloc@GmmClientContext@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@IPAUGMM_RESCREATE_PARAMS_REC@@PAUGMM_SPEEDFRAME_SPECIFIC_PARAMS_REC@@@Z 0x2fec894c                                         
?SpeedFrameDeAlloc@GmmClientContext@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@IPAI@Z                           0x55897eec                                         
?SpeedFrameDeInit@GmmClientContext@GmmLib@@UAEJXZ                                                    0xbd983c11                                         
?SpeedFrameInit@GmmClientContext@GmmLib@@UAEJXZ                                                      0x5a464a68                                         
?UmDestroypHeap@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAPAUGMM_HEAP_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x7521d4e6                                         
?UmSetupHeap@GmmClientContext@GmmLib@@UAGPAUGMM_HEAP_REC@@TGMM_ESCAPE_HANDLE_REC@@0_K1ITGMM_ESCAPE_FUNC_TYPE_REC@@@Z 0x8c49c00d                                         
?UpdateAuxTable@GmmPageTableMgr@GmmLib@@UAE?AW4GMM_STATUS_ENUM@@PBU__GMM_DDI_UPDATEAUXTABLE@@@Z      0x0b33fb87                                         
?UpdateSparseResourceOpaqueMapping@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@EIPAUGMM_UPDATE_SPARSE_RESOURCE_OPAQUE_MAPPINGS_REC@@@Z 0x0e77a0d5                                         
?UpdateSpeedFrameUsage@GmmClientContext@GmmLib@@UAEXKE@Z                                             0xe0f55652                                         
?UpdateTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UAEJPAPAUGMM_UMD_SYNCCONTEXT_REC@@PBU_GMM_UPADTE_TR_GPUVIRTUALADDRESS_INT@@E@Z 0x3268beb5                                         
?UpdateTiledResourceMapping@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0UGMM_UPDATE_TILE_MAPPINGS_REC_INT@@EPAUGMM_UMD_SYNCCONTEXT_REC@@PAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@TGMM_ESCAPE_FUNC_TYPE_REC@@PAU_GMM_DEVICE_CALLBACKS_INT@@IE@Z 0xa31f9d39                                         
