DLL Path: C:\Windows\System32\mmcbase.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$CEventLock@UAppEvents@@@@QEAA@XZ                                                                0xf62f27f9                                         
?GetSnapinName@SC@mmcerror@@QEBAPEBGXZ                                                               0x08c10f94                                         
?HrFromSc@@YAJAEBVSC@mmcerror@@@Z                                                                    0x55638381                                         
?InitInstance@BookKeeping@@SAJXZ                                                                     0xe6588a2b                                         
?InterfaceFailure@BookKeeping@@SAXHPEBG0@Z                                                           0x2e5f8007                                         
?InterfaceMethodActivationContextException@BookKeeping@@SAXHPEBG0KPEAU_EXCEPTION_POINTERS@@@Z        0x18b74e9d                                         
?InterfaceMethodException@BookKeeping@@SAXHPEBG0KPEAU_EXCEPTION_POINTERS@@@Z                         0xd618c406                                         
?InterfaceNotFound@BookKeeping@@SAXHPEBG@Z                                                           0x5562b83c                                         
?InternalAddRef@CMMCStrongReferences@@AEAAKXZ                                                        0xeb95ae0b                                         
?InternalLastRefReleased@CMMCStrongReferences@@AEAA_NXZ                                              0x17b6021d                                         
?InternalRelease@CMMCStrongReferences@@AEAAKXZ                                                       0x087669e6                                         
?InvalidInterface@BookKeeping@@SAXHPEBG0@Z                                                           0x3522f346                                         
?InvalidMMCInterface@BookKeeping@@SAXHPEBG0@Z                                                        0xfc5a1863                                         
?InvalidMMCInterfaceRelease@BookKeeping@@SAXHPEBG0@Z                                                 0x1eb45744                                         
?IsError@SC@mmcerror@@QEBA_NXZ                                                                       0xa44555df                                         
?IsLocked@CEventBuffer@@QEAA_NXZ                                                                     0xf9933248                                         
?IsValid@ItemHandle@@SA_NPEBV1@@Z                                                                    0x288781a4                                         
?LKResult2HRESULT@BookKeeping@@SAJ_J@Z                                                               0x71a633c2                                         
?LastRefReleased@CMMCStrongReferences@@SA_NXZ                                                        0x2f16804c                                         
?LoadDynamicLayoutResource@DialogBoxDpiTracker@@QEAAXPEAUHINSTANCE__@@PEAUHRSRC__@@@Z                0x44c38a8c                                         
?Lock@CEventBuffer@@QEAAXXZ                                                                          0x58cb896e                                         
?MMCErrorBox@@YAHII@Z                                                                                0xe4a69922                                         
?MMCErrorBox@@YAHIVSC@mmcerror@@I@Z                                                                  0x42cdf055                                         
?MMCErrorBox@@YAHPEBGI@Z                                                                             0xd07ca997                                         
?MMCErrorBox@@YAHPEBGVSC@mmcerror@@I@Z                                                               0x43a5298a                                         
?MMCErrorBox@@YAHVSC@mmcerror@@I@Z                                                                   0x29c0722c                                         
?MMCInterfaceError@BookKeeping@@SAXHPEBG0@Z                                                          0xb4e30ae6                                         
?MMCInterfaceLeak@BookKeeping@@SAXHPEBG@Z                                                            0x675ec7a9                                         
?MMCInterfaceMethodException@BookKeeping@@SAXHPEBG0KPEAU_EXCEPTION_POINTERS@@W4_SnapinError@1@@Z     0x9e94ac71                                         
?MMCNullInterface@BookKeeping@@SAXHPEBG0@Z                                                           0x0515cf97                                         
?MakeSc@SC@mmcerror@@AEAAXW4facility_type@12@J@Z                                                     0xc78ea3fd                                         
?RegisterSnapinInterfaceErrorHandler@BookKeeping@@SAP6A_NAEAVSnapinBookkeepingInfo@@W4_SnapinError@1@PEBG222KPEAU_EXCEPTION_POINTERS@@@ZP6A_N012222K3@Z@Z 0x46253623                                         
?RegisterThread@BookKeeping@@SAJHHKW4SnapinThreadFlags@1@@Z                                          0xe3e1cc0c                                         
?Release@CMMCStrongReferences@@SAKXZ                                                                 0x7d725c75                                         
?ReleaseSnapinInterface@BookKeeping@@SAJPEAUIUnknown@@H@Z                                            0xdf779f71                                         
?RemoveItem@BookKeeping@@SAJPEAX@Z                                                                   0x77f767f5                                         
?ResizeDynamicLayout@DialogBoxDpiTracker@@QEAAXXZ                                                    0x35bf78fd                                         
?SCODEFromSc@@YAJAEBVSC@mmcerror@@@Z                                                                 0xdd430295                                         
?ScEmitOrPostpone@CEventBuffer@@QEAA?AVSC@mmcerror@@PEAUIDispatch@@JPEAVCComVariant@ATL@@H@Z         0xc3404ca0                                         
?ScFlushPostponed@CEventBuffer@@AEAA?AVSC@mmcerror@@XZ                                               0x161c4884                                         
?ScFromMMC@@YA?AVSC@mmcerror@@J@Z                                                                    0x92ec827c                                         
?ScGetConsoleEventDispatcher@CConsoleEventDispatcherProvider@@SA?AVSC@mmcerror@@AEAPEAVCConsoleEventDispatcher@@@Z 0x7b83fdb3                                         
?ScSetConsoleEventDispatcher@CConsoleEventDispatcherProvider@@SA?AVSC@mmcerror@@PEAVCConsoleEventDispatcher@@@Z 0x861d42d8                                         
?SetFunctionName@SC@mmcerror@@QEAAXPEBG@Z                                                            0xb623f65c                                         
?SetHWnd@SC@mmcerror@@SAXPEAUHWND__@@@Z                                                              0x2f59cb9e                                         
?SetHinst@SC@mmcerror@@SAXPEAUHINSTANCE__@@@Z                                                        0xd22688ff                                         
?SetMainThreadID@SC@mmcerror@@SAXK@Z                                                                 0x2a610008                                         
?SetModalHWND@SC@mmcerror@@SAPEAUHWND__@@PEAU3@@Z                                                    0xf28ff791                                         
?SetSnapinName@SC@mmcerror@@QEAAXPEBG@Z                                                              0xba6d8ddf                                         
?Throw@SC@mmcerror@@QEAAXJ@Z                                                                         0xc94c7069                                         
?Throw@SC@mmcerror@@QEAAXXZ                                                                          0x3c672c17                                         
?ToHr@SC@mmcerror@@QEBAJXZ                                                                           0xeeeef073                                         
?TraceAndClear@SC@mmcerror@@QEAAXXZ                                                                  0x7ad0844c                                         
?TraceError@@YAXPEBGAEBVSC@mmcerror@@@Z                                                              0xdd44a702                                         
?TraceSnapinError@@YAXPEBGAEBVSC@mmcerror@@@Z                                                        0xe13eb52b                                         
?Trace_@SC@mmcerror@@QEBAXXZ                                                                         0x3923d172                                         
?Unlock@CEventBuffer@@QEAAXXZ                                                                        0x1a8bffb1                                         
?UnregisterAllSnapinInstanceThreads@BookKeeping@@SAJH@Z                                              0xcb8e2c3c                                         
?UnregisterThread@BookKeeping@@SAJHK@Z                                                               0x33aca89d                                         
?s_CallDepth@SC@mmcerror@@0IA                                                                        0x9e2a969e                                         
?s_dwMainThreadID@SC@mmcerror@@0KA                                                                   0x2952b234                                         
?s_hInst@SC@mmcerror@@0PEAUHINSTANCE__@@EA                                                           0xc1cf5e15                                         
?s_hWnd@SC@mmcerror@@0PEAUHWND__@@EA                                                                 0xfe8bb314                                         
?s_hWndModal@SC@mmcerror@@0PEAUHWND__@@EA                                                            0x1425cdc1                                         
?s_pDispatcher@CConsoleEventDispatcherProvider@@0PEAVCConsoleEventDispatcher@@EA                     0x7d8888d8                                         
EnterModalLoop                                                                                       0x2de5604a                                         
GetComObjectEventSource                                                                              0xf9486a0e                                         
GetEventBuffer                                                                                       0xc60fb501                                         
GetStringModule                                                                                      0x52aaa882                                         
InsideModalLoop                                                                                      0x7fcc3828                                         
LeaveModalLoop                                                                                       0x06de5a99                                         
LoadStandardOverlays                                                                                 0x4f752fcb                                         
MMCUpdateRegistry                                                                                    0xe52ddcfe                                         
MMC_PickIconDlg                                                                                      0x7b73b168                                         
ReportFxSnapinException                                                                              0x3ea5bc77                                         
