DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??4CSingleList@@QEAAAEAV0@AEBV0@@Z                                                                   0xe3a587c5                                         
??4CSmallSpinLock@@QEAAAEAV0@AEBV0@@Z                                                                0x4d1eb9a3                                         
??4CSpinLock@@QEAAAEAV0@AEBV0@@Z                                                                     0xb83e6fca                                         
??8CLKRHashTable_Iterator@@QEBA_NAEBV0@@Z                                                            0xddaa10ca                                         
??8CLKRLinearHashTable_Iterator@@QEBA_NAEBV0@@Z                                                      0x63c491c5                                         
??9CLKRHashTable_Iterator@@QEBA_NAEBV0@@Z                                                            0x9f9f118b                                         
??9CLKRLinearHashTable_Iterator@@QEBA_NAEBV0@@Z                                                      0x12215f46                                         
??_7CLKRhashDefaultAllocator@@6B@                                                                    0xe04c6a07                                         
?Alloc@CLKRhashDefaultAllocator@@UEAAPEAX_KW4Type@CLKRhashAllocator@@@Z                              0xa48d99b1                                         
?Apply@CLKRHashTable@@QEAAKP6A?AW4LK_ACTION@@PEBXPEAX@Z1W4LK_LOCKTYPE@@@Z                            0x7a77bfb9                                         
?Apply@CLKRLinearHashTable@@QEAAKP6A?AW4LK_ACTION@@PEBXPEAX@Z1W4LK_LOCKTYPE@@@Z                      0x098c7e74                                         
?ApplyIf@CLKRHashTable@@QEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@ZP6A?AW4LK_ACTION@@01@Z1W4LK_LOCKTYPE@@@Z 0xd0d0aabc                                         
?ApplyIf@CLKRLinearHashTable@@QEAAKP6A?AW4LK_PREDICATE@@PEBXPEAX@ZP6A?AW4LK_ACTION@@01@Z1W4LK_LOCKTYPE@@@Z 0x23fb2117                                         
?BackupFile@CEXAutoBackupFile@@QEAAJPEBG@Z                                                           0x96f4f083                                         
?Begin@CLKRHashTable@@QEAA?AVCLKRHashTable_Iterator@@XZ                                              0x453951c2                                         
