DLL Path: C:\Windows\System32\rdpbase.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CRDPCache@@QEAA@XZ                                                                                0xcf7ee33a                                         
?CreateInstance@NSCodecCompressor@@SA_N_N00EAEAV?$TCntPtr@VNSCodecCompressor@@@@@Z                   0xb682c4d7                                         
?CreateInstance@PlanarCompressor@@SAJGGEHHHPEAPEAUIRdpImageCompressor@@@Z                            0xecd14f7b                                         
?CreateInstance@RdpEncodeBuffer@@SAJPEAVRdpEncodeBufferPool@@KPEAPEAV1@@Z                            0xc5b3e0e5                                         
?Decompress@NSCodecDecompressor@@QEAA_NPEBEIAEAVPixelMap@@@Z                                         0x044d6c8f                                         
?DecompressRdp8__CreateInstance@@YAJPEAPEAVIRdpPipeDecompress@@@Z                                    0x2d83a6d0                                         
?Enable@PipeETWEvents@@UEAAJKK@Z                                                                     0xce9b82d4                                         
?EvictEntry@Evict@@QEAAPEAU_SCORE_ENTRY@@XZ                                                          0xe708d80d                                         
?FakeSleep@PipelineClock@@QEAAX_K@Z                                                                  0xf541148a                                         
?GetFreeEntry@Evict@@QEAAPEAU_SCORE_ENTRY@@XZ                                                        0x91fa6e74                                         
?GetInstance@PipelineClock@@SAAEAV1@XZ                                                               0x07bced2f                                         
?GetMillisecondCount64@PipelineClock@@QEAA_KXZ                                                       0xe2c0fac0                                         
?GetMillisecondCount@PipelineClock@@QEAAIXZ                                                          0x8c4441d5                                         
?GetNext@CRDPENCONIPHelper@@QEAAPEAU_SOCKET_ADDRESS@@XZ                                              0x79014c5a                                         
?GetNext@CRDPENCONResolver@@QEAAHPEAPEAUsockaddr@@PEA_K@Z                                            0x76975f97                                         
?GetPortMapping@CRDPENCConnectorStringDeserializer@@QEAAJKPEAPEAGPEAK@Z                              0x2617efd4                                         
?GetTickCount@PipelineClock@@QEAAIXZ                                                                 0xadf88ced                                         
?GetTimeHNS@PipelineClock@@QEAA_JXZ                                                                  0x867922f1                                         
?HintCoconet__CreateInstance@@YAJPEAPEAVIRdpPipeCompressHintProvider@@@Z                             0x54167a50                                         
?Initialize@CRDPENCONIPHelper@@QEAAJKHPEAG@Z                                                         0x410ecbd7                                         
?Initialize@PipeETWEvents@@UEAAJPEAUIUnknown@@@Z                                                     0x453b49ad                                         
?InitializeInstance@CRDPENCConnectorStringSerializer@@UEAAJXZ                                        0x492fb4de                                         
?InsertEntry@Evict@@QEAAXPEAU_SCORE_ENTRY@@K@Z                                                       0xd09e3cd2                                         
?IsSupportedVersion@CRdpGfxCaps@@SAHK@Z                                                              0x8ecc11e2                                         
?IsTestMode@PipelineClock@@QEAA_NXZ                                                                  0x8f641d7e                                         
?NSRunLengthDecode@@YAKPEBEKPEAEK@Z                                                                  0x13d9b28c                                         
?PAL_System_Win32_IsRunningInAppContainer@@YAHXZ                                                     0x35c08b82                                         
?ParkEntry@Evict@@QEAAXPEAU_SCORE_ENTRY@@@Z                                                          0x82472640                                         
?ProcessAlignedData_AVX@SSECBCHash2@@AEAAXPEBIIII@Z                                                  0x14f80b7d                                         
?ProcessAlignedData_SSE2@SSECBCHash2@@AEAAXPEBIIII@Z                                                 0x58ddb42b                                         
?ProcessAlignedData_SSE41@SSECBCHash2@@AEAAXPEBIIII@Z                                                0x22956cbe                                         
?ProcessUnalignedData_REG@SSECBCHash2@@AEAAXPEBIIII@Z                                                0x71c15e6f                                         
?PromoteEntry@Evict@@QEAAXKK@Z                                                                       0xe9a54277                                         
?RdpGfxProtocolServerEncoder_CreateInstance@@YAJPEAVIRdpEncoderIO@@PEAPEAVIRdpPipeProtocolEncoderEx@@@Z 0xcc51d79f                                         
?RdpPerfLoggerStaticInitialize@@YAXXZ                                                                0x938b9a15                                         
?RdpPerfLoggerStaticTerminate@@YAXXZ                                                                 0x3680894c                                         
?Reset@CRDPCache@@UEAAJI@Z                                                                           0x4cd86b0d                                         
?SearchCache@CRDPCache@@UEAAJIIPEAPEAUIUnknown@@PEAI@Z                                               0x16d1a1d6                                         
?SetCacheEntry@CRDPCache@@UEAAJIIPEAUIUnknown@@PEAI@Z                                                0x3b4223a8                                         
?SetConnectorId@CRDPENCConnectorStringSerializer@@UEAAJK@Z                                           0x1611a06e                                         
?SetDecodeBuffer@RdpGfxProtocolBaseDecoder@@IEAAXPEBEI@Z                                             0x4c405423                                         
?SetSessionId@CRDPENCConnectorStringSerializer@@UEAAJI@Z                                             0xd8c65405                                         
?SortAddresses@CRDPENCONResolver@@QEAAJXZ                                                            0xc29c35ac                                         
?StartEnum@CRDPENCONIPHelper@@QEAAHXZ                                                                0xec13f08e                                         
?StartEnum@CRDPENCONResolver@@QEAAIXZ                                                                0xf94ee248                                         
?Terminate@CRDPENCONIPHelper@@QEAAJXZ                                                                0x69dce156                                         
?UnevictEntry@Evict@@QEAAXPEAU_SCORE_ENTRY@@@Z                                                       0xd5ff3270                                         
?UpdateKeys@SSECBCHash2@@AEBAXXZ                                                                     0x239e9eff                                         
?XMLDeserialize@CRDPENCConnectorStringDeserializer@@QEAAJPEAG@Z                                      0x4b574bc3                                         
?XMLSerialize@CRDPENCConnectorStringSerializer@@UEAAJPEAPEAG@Z                                       0xb640d0ab                                         
?XObjectId_RdpXHttpSession_CreateObject@@YA?AW4_XResult32@@PEAURdpXInterface@@IW4_XInterfaceId32@@PEAPEAX@Z 0xfc41dbd1                                         
?XObjectId_RdpXInterfaceUriComponents_CreateObject@@YA?AW4_XResult32@@PEAURdpXInterface@@IW4_XInterfaceId32@@PEAPEAX@Z 0xe0cafa34                                         
?XObjectId_RdpXSecFilterServer_CreateObject@@YA?AW4_XResult32@@PEAURdpXInterface@@IW4_XInterfaceId32@@PEAPEAX@Z 0xee06fda5                                         
ApplyLuminanceFilter                                                                                 0x754e852d                                         
ApplySobelFilterOnLum                                                                                0xa63c1411                                         
BitmapCombinePlanes                                                                                  0xbae72942                                         
CAPAPI_AddCapSet                                                                                     0x75e6c49b                                         
CAPAPI_GetCapSet                                                                                     0xecb70b92                                         
CAPAPI_InitializeCombinedCaps                                                                        0x26b79a8c                                         
CAPAPI_MergeCombinedCaps                                                                             0x10e39cca                                         
CRDPBitmapRecorder_CreateInstance                                                                    0xca3039c9                                         
CRDPCacCodecEncoder_CreateInstance                                                                   0x029ada1b                                         
CRDPCacCodec_CreateInstance                                                                          0x7c4c117b                                         
CRDPCacVideoCodecForHardwareClient_CreateInstance                                                    0xb1415c06                                         
CRDPCacVideoCodec_CreateInstance                                                                     0x2dd21a12                                         
CRDPCaps_CreateInstance                                                                              0x7b98fe3d                                         
CRDPENCGfxEncoder_CreateInstance                                                                     0x942ad5f1                                         
CRDPNsCodec_CreateInstance                                                                           0x06fb7955                                         
CRDPPlanarCompressor_CreateInstance                                                                  0xad738b21                                         
CRdpFIPSEncryption_CreateInstance                                                                    0x1941adb3                                         
DecryptData                                                                                          0xa1883c9a                                         
DecryptDataEx                                                                                        0x2489d477                                         
DrawBox                                                                                              0x874189dc                                         
DrawHLine                                                                                            0x5e24a163                                         
DrawIconToPixelMap                                                                                   0x024036bf                                         
DrawVLine                                                                                            0x5f21f871                                         
EncryptClientRandom                                                                                  0x52151a6a                                         
EncryptData                                                                                          0x4b440c04                                         
ExpandRectForSSE                                                                                     0xdc347c25                                         
GetSupportedSSELevel_SSE                                                                             0xb615d3f8                                         
GridBA_CreateInstance                                                                                0xde0e1736                                         
MakeSessionKeys                                                                                      0x8de834c3                                         
MemCopyAligned_SSE                                                                                   0xd3f95d3d                                         
MemEqual                                                                                             0xed9d269c                                         
MemMoveReverseAligned_SSE                                                                            0xf1438d95                                         
PAL_System_AtomicCompareAndExchange                                                                  0x5be67e7f                                         
PAL_System_AtomicCompareAndExchangePointer                                                           0xf15f4d40                                         
PAL_System_AtomicDecrement                                                                           0x998fa6d9                                         
PAL_System_AtomicExchange                                                                            0x516f22e5                                         
PAL_System_AtomicExchangeAdd                                                                         0xa232968e                                         
PAL_System_AtomicExchangePointer                                                                     0xac8242e6                                         
PAL_System_AtomicIncrement                                                                           0x2e4e57c7                                         
PAL_System_Beep                                                                                      0x50ee78a1                                         
PAL_System_CondAlloc                                                                                 0xc4fa4e14                                         
PAL_System_CondReset                                                                                 0xc62a348c                                         
PAL_System_CondSignal                                                                                0x8e07e067                                         
PAL_System_CondWait                                                                                  0xa12abcbe                                         
PAL_System_ConvertToAndFromWideChar                                                                  0x53fb0137                                         
PAL_System_CreateGuid                                                                                0x02de6ea2                                         
PAL_System_CredProtect                                                                               0x71677da4                                         
PAL_System_CredUnprotect                                                                             0x47b25887                                         
PAL_System_CritSecEnter                                                                              0xb30dbe90                                         
PAL_System_CritSecInit                                                                               0xcf21a286                                         
PAL_System_CritSecIsLockedByCurrentThread                                                            0x5519c1b6                                         
PAL_System_CritSecLeave                                                                              0xb3872bff                                         
PAL_System_CritSecTerminate                                                                          0xe734965b                                         
PAL_System_CritSecTryEnter                                                                           0x7196e52f                                         
PAL_System_CryptDecryptLegacy                                                                        0x7fad3667                                         
PAL_System_CryptEncrypt                                                                              0x12c3cbbc                                         
PAL_System_CryptFree                                                                                 0xf8047419                                         
PAL_System_CryptZeroMemory                                                                           0xf599bb50                                         
PAL_System_DebugBreak                                                                                0x3aa96891                                         
PAL_System_DebugOutput                                                                               0xae684f9d                                         
PAL_System_GetComputerName                                                                           0x8aa281d5                                         
PAL_System_GetFIPSAlgorithmEnabled                                                                   0x0f5611e9                                         
PAL_System_GetLocalSessionId                                                                         0x940d8ac1                                         
PAL_System_GetModuleFilename                                                                         0xede2d8ac                                         
PAL_System_GetNetworkStatus                                                                          0x15286093                                         
PAL_System_GetNumberOfProcessors                                                                     0x8df931f6                                         
PAL_System_GetWindowsProductId                                                                       0x620b097e                                         
PAL_System_HandleFree                                                                                0x7d6516b3                                         
PAL_System_MemAlloc                                                                                  0xd533df2f                                         
PAL_System_MemFree                                                                                   0x63900bc6                                         
PAL_System_NetworkMonitorInit                                                                        0x1943d90b                                         
PAL_System_NetworkMonitorNotification                                                                0x7187c2de                                         
PAL_System_NetworkMonitorTerminate                                                                   0x0366a800                                         
PAL_System_SecureZeroMemory                                                                          0x9e9c1905                                         
PAL_System_SemaphoreAcquire                                                                          0x88f0d833                                         
PAL_System_SemaphoreAlloc                                                                            0x8cb8ab74                                         
PAL_System_SemaphoreRelease                                                                          0xa9d5cfca                                         
PAL_System_SingleCondWait                                                                            0x42e19dc0                                         
PAL_System_Sleep                                                                                     0x6ff502fe                                         
PAL_System_SwitchToThread                                                                            0x182effd2                                         
PAL_System_ThreadGetId                                                                               0xf3d36c2a                                         
PAL_System_TimeGetCurrent                                                                            0xbbe5b6f7                                         
PAL_System_TimeGetDynamicTimeZoneInformation                                                         0x6a944f4a                                         
PAL_System_TimeGetTickCount                                                                          0x5ff889a8                                         
PAL_System_TimeGetTickCount64                                                                        0x40419ad2                                         
PAL_System_TimeGetTimeZoneInformation                                                                0x8f3c48c5                                         
PAL_System_TimerCancel                                                                               0x82eebc2c                                         
PAL_System_TimerDelete                                                                               0x858b3879                                         
PAL_System_TimerInit                                                                                 0xb07144fa                                         
PAL_System_TimerIsSet                                                                                0xbe9c430e                                         
PAL_System_TimerSet                                                                                  0x8177f532                                         
PAL_System_WideCharToUnicode16                                                                       0x22e635bd                                         
RDPAPI_GetGenericCounter                                                                             0xde883be1                                         
RDPAPI_GetGlobalObject                                                                               0xa12a19cc                                         
RDPAPI_GetLongCounter                                                                                0xd13f00f4                                         
RDPBASE_CreateInstance                                                                               0xeb78862e                                         
RDPCompress                                                                                          0x58f60777                                         
RDPCompressEx                                                                                        0x6e95ca94                                         
RDPCompress_GetContextSize                                                                           0xa6375ab6                                         
RDPCompress_InitRecvContext                                                                          0x7924f23f                                         
RDPCompress_InitSendContext                                                                          0x63398ab9                                         
RDPDeCompress_GetContextSize                                                                         0x6bd2147f                                         
RDPDecompress                                                                                        0x5353e480                                         
RDPENCDirectConnector_CreateInstance                                                                 0x1427e58f                                         
RDPENCGDIHLP_FlipBitmapBits                                                                          0x71c5a432                                         
RDPENCGDIHLP_FlipBitmapBitsInPlace                                                                   0x6d380b2e                                         
RDPENCGDIHLP_ValidatePointerParams                                                                   0xa059b487                                         
RDPENCHLPREG_ReadValueDWORD                                                                          0x617b417b                                         
RDPENCHLPWSErr2Hr                                                                                    0xc148a804                                         
RDPENCHLPWS_GetIPFromAddr                                                                            0x1235e516                                         
RDPENCHLPWS_GetPortFromAddr                                                                          0xa523b882                                         
RDPENCHLP_GetInputDesktopName                                                                        0x3bba070f                                         
RDPENCHLP_IsGreaterThanOrEqWin8                                                                      0x4f587812                                         
RDPENCHLP_IsSessionActive                                                                            0x27cfd260                                         
RDPENCHLP_IsSessionRemote                                                                            0x4f97f8b0                                         
RDPENCHLP_TraceWindowInfo                                                                            0xa84ad2b7                                         
RDPENCORE_AddGlobalObject                                                                            0xeea4b997                                         
RDPServerStackDiagnostics_LogCheckpoint                                                              0x4d56c499                                         
RDPServerStackDiagnostics_LogDisconnect                                                              0xbaa73dbb                                         
RDPServerStackDiagnostics_LogFailure                                                                 0x5429a019                                         
RDPServerStackDiagnostics_Register                                                                   0x5d756c94                                         
RDPServerStackDiagnostics_Unregister                                                                 0x8b308ed7                                         
RDPWSStreamConnector_CreateInstance                                                                  0x48f14c94                                         
RDP_HMACMD5Final                                                                                     0x65cb4233                                         
RDP_HMACMD5Init                                                                                      0x86f85ebd                                         
RDP_HMACMD5Update                                                                                    0x42aa1b2c                                         
RDP_MD5Final                                                                                         0xf3c6d8ba                                         
RDP_MD5Init                                                                                          0x9307c064                                         
RDP_MD5Update                                                                                        0x90188293                                         
RDP_RC4                                                                                              0x506303f3                                         
RDP_RC4AllocKey                                                                                      0x851b4f67                                         
RDP_RC4FreeKey                                                                                       0xc8b3c2be                                         
RDP_RC4SetKey                                                                                        0x97e1adc8                                         
RDP_RC4ZeroKey                                                                                       0xaede2bfc                                         
RDP_RsaBCryptDecryptPrivate                                                                          0x1f78401a                                         
RDP_RsaBCryptGenerateRsaKeyPair                                                                      0x3fdd962a                                         
RDP_RsaBCryptPubKeyToBSafePubKey                                                                     0x2cd6fec8                                         
RDP_RsaBSafeEncPublic                                                                                0x4da28aa6                                         
RDP_RsaGetPublicKeyDataLength                                                                        0xbc8702d4                                         
RDP_RsaGetPublicKeyLength                                                                            0xffc50d9a                                         
RDP_SHAFinal                                                                                         0xcd38b090                                         
RDP_SHAInit                                                                                          0x6b12f57a                                         
RDP_SHAUpdate                                                                                        0x97c55529                                         
RdpIntersectRect                                                                                     0x5ab25e2a                                         
RdpTiledSurface_CreateInstance                                                                       0x4ef27dae                                         
RdpUnionRect                                                                                         0xb28cb9c2                                         
RdpX_AtomicDecrement32                                                                               0x282c96fb                                         
RdpX_AtomicIncrement32                                                                               0xe75b3b69                                         
RdpX_DateTime_GetHighResolutionTimeSinceReboot                                                       0x5c2ec54e                                         
RdpX_DebugBreak                                                                                      0xb266ae4e                                         
RdpX_GetActivityIdPrefix                                                                             0x26d7ceaa                                         
RdpX_Threading_CreateCriticalSection                                                                 0x2f6cdc2b                                         
RgnlibBA_CreateInstance                                                                              0xa842e42e                                         
SaveImageToFile                                                                                      0xfeb4e59a                                         
SubtractRects                                                                                        0xa809108e                                         
TRC_TraceBufferW                                                                                     0x304c632d                                         
TSAlloc                                                                                              0x0c4d04b7                                         
TSCreateBaseServices                                                                                 0x7e31febf                                         
TSCreateCoreEvents                                                                                   0x0fc2041e                                         
TSCreatePlatform                                                                                     0x64622d65                                         
TSDbgAssertThread                                                                                    0x97489d63                                         
TSFree                                                                                               0xd1d6a04e                                         
TSRNG_GenerateRandomBits                                                                             0xc94211b0                                         
TsAddRectsToRegion                                                                                   0xa105b77d                                         
TsCreateRegion                                                                                       0x46a9c744                                         
TsDestroyRegion                                                                                      0x6601f3da                                         
TsGetRegionBoundingBox                                                                               0xde6f550f                                         
TsGetRegionRectCount                                                                                 0x3322c247                                         
TsGetRegionRects                                                                                     0x81f31b91                                         
TsSetRegionFromRects                                                                                 0x721f43d1                                         
UnpackServerCert                                                                                     0x8817c60c                                         
UpdateSessionKey                                                                                     0x36297d95                                         
ValidateServerCert                                                                                   0x0a4d3794                                         
