DLL Path: C:\Windows\System32\vssapi.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CVssJetWriter@@QEAA@XZ                                                                            0x7a513b5c                                         
?SetWriterFailure@CVssWriter@@IEAAJJ@Z                                                               0x7f74694f                                         
?Subscribe@CVssWriter@@QEAAJK@Z                                                                      0x42752029                                         
?Uninitialize@CVssJetWriter@@QEAAXXZ                                                                 0xaccbb47a                                         
?Unsubscribe@CVssWriter@@QEAAJXZ                                                                     0x01f25719                                         
CreateVssBackupComponentsInternal                                                                    0x1724074e                                         
CreateVssExamineWriterMetadataInternal                                                               0x767137b7                                         
CreateVssExpressWriterInternal                                                                       0x8224c899                                         
CreateVssSnapshotSetDescription                                                                      0x22d98f75                                         
CreateWriter                                                                                         0x86b8b436                                         
CreateWriterEx                                                                                       0x17b6a313                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
GetProviderMgmtInterface                                                                             0xe95fb5d6                                         
GetProviderMgmtInterfaceInternal                                                                     0xbc9172d3                                         
IsVolumeSnapshotted                                                                                  0x50a85146                                         
IsVolumeSnapshottedInternal                                                                          0x3ab67e43                                         
LoadVssSnapshotSetDescription                                                                        0x92fe8fc1                                         
ShouldBlockRevert                                                                                    0x6dfd3eb7                                         
ShouldBlockRevertInternal                                                                            0x0b964cb4                                         
VssFreeSnapshotProperties                                                                            0x4ed93a00                                         
VssFreeSnapshotPropertiesInternal                                                                    0xd1b980fd                                         
