DLL Path: C:\Windows\System32\oobe\unbcl.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0?$Array@E@UnBCL@@IEAA@XZ                                                                          0xdaa69b90                                         
??0?$IEnumerable@V?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@QEAA@XZ                 0x7f149818                                         
??0?$IEnumerator@PEAVString@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                            0x98fe483c                                         
??0?$IEnumerator@PEAVString@UnBCL@@@UnBCL@@QEAA@XZ                                                   0xc50eb7b6                                         
??0?$IEnumerator@PEBG@UnBCL@@QEAA@AEBU01@@Z                                                          0xcbcef2c3                                         
??0?$IEnumerator@PEBG@UnBCL@@QEAA@XZ                                                                 0xb99f3c1d                                         
??0?$IList@E@UnBCL@@QEAA@AEBU01@@Z                                                                   0x9af67b84                                         
??0?$IList@E@UnBCL@@QEAA@XZ                                                                          0x6b798bfe                                         
??0?$IList@G@UnBCL@@QEAA@AEBU01@@Z                                                                   0x2b61b906                                         
??0?$IList@G@UnBCL@@QEAA@XZ                                                                          0x83e3d7c0                                         
??0?$IList@H@UnBCL@@QEAA@AEBU01@@Z                                                                   0xf39757c7                                         
??0?$IList@H@UnBCL@@QEAA@XZ                                                                          0x9018fda1                                         
??0?$IList@PEAVObject@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                                  0x769f34b6                                         
??0?$IList@PEAVObject@UnBCL@@@UnBCL@@QEAA@XZ                                                         0xba921970                                         
??0?$IList@PEAVString@UnBCL@@@UnBCL@@QEAA@AEBU01@@Z                                                  0xe759c5b6                                         
??0?$IList@PEAVString@UnBCL@@@UnBCL@@QEAA@XZ                                                         0x7d7dca70                                         
??0?$SerializableArrayBase@E@_@UnBCL@@QEAA@AEBV012@@Z                                                0x05c120a2                                         
??0?$SerializableArrayBase@E@_@UnBCL@@QEAA@XZ                                                        0xfd3e3929                                         
??0?$SerializableArrayBase@G@_@UnBCL@@QEAA@AEBV012@@Z                                                0x640686e4                                         
??0?$SerializableArrayBase@G@_@UnBCL@@QEAA@XZ                                                        0xd96a7d6b                                         
??0?$SerializableArrayBase@H@_@UnBCL@@QEAA@AEBV012@@Z                                                0x93293a05                                         
??0?$SerializableArrayBase@H@_@UnBCL@@QEAA@XZ                                                        0xc7809f8c                                         
??0?$SerializableArrayBase@PEAVString@UnBCL@@@_@UnBCL@@QEAA@AEBV012@@Z                               0x12113b14                                         
??0?$SerializableArrayBase@PEAVString@UnBCL@@@_@UnBCL@@QEAA@XZ                                       0xa4dc019b                                         
??0?$SerializableArrayListBase@PEAVString@UnBCL@@@_@UnBCL@@QEAA@AEBV012@@Z                           0xea1603d0                                         
??0?$SerializableArrayListBase@PEAVString@UnBCL@@@_@UnBCL@@QEAA@XZ                                   0x0271ce57                                         
??0?$SerializableArrayListPrimitiveBase@G@_@UnBCL@@QEAA@AEBV012@@Z                                   0x3b586959                                         
??0?$SerializableArrayListPrimitiveBase@G@_@UnBCL@@QEAA@XZ                                           0x17efbae0                                         
??0?$SerializableBase@V?$Array@E@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@E@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@IEAA@XZ 0x7d8a405e                                         
??0?$SerializableBase@V?$Array@E@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@E@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@QEAA@AEBV01@@Z 0x79bb798d                                         
??0?$SerializableBase@V?$Array@G@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@G@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@IEAA@XZ 0xe8b00ca2                                         
??0?$SerializableBase@V?$Array@G@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@G@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@QEAA@AEBV01@@Z 0x80605151                                         
??0?$SerializableBase@V?$Array@H@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@H@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@IEAA@XZ 0x9e42f2c4                                         
??0?$SerializableBase@V?$Array@H@UnBCL@@$0A@V?$SimpleInstanceFactory@$1?NewLarvalArray@?$StaticArrayOps@H@_@UnBCL@@SAPEAUISerializable@4@XZ@2@@UnBCL@@QEAA@AEBV01@@Z 0x83b2bd33                                         
