DLL Path: C:\Windows\System32\BcastDVRCommon.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0BcastDVR_OutputDebug@@QEAA@PEBD@Z                                                                 0xf48282f0                                         
?InsertJsonString@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUIJsonValueStatics@Json@Data@5@PEAU?$IMap@PEAUHSTRING__@@PEAUIJsonValue@Json@Data@Windows@@@Collections@Foundation@5@PEAUHSTRING__@@2@Z 0xc621df19                                         
?InsertNamedJsonEnumBitfields@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUIJsonValueStatics@Json@Data@5@PEAU?$IMap@PEAUHSTRING__@@PEAUIJsonValue@Json@Data@Windows@@@Collections@Foundation@5@PEAUHSTRING__@@_KPEBQEBGH@Z 0x1fbb3188                                         
?LogError@BcastDVRLogProviderBase@@SAXJPEBD0H_N@Z                                                    0x74182301                                         
?LogErrorEx@BcastDVRLogProviderBase@@SAXJPEBD0H00_N@Z                                                0x48e0b17e                                         
?MapConstantToString@GameDVRUtility@Internal@Capture@Media@Windows@@YAPEBGQEAPEBGKKKK@Z              0x3f51a32f                                         
?MostRecentErrorInHistory@BcastDVRLogProviderBase@@SAJXZ                                             0xc741524c                                         
?OutputString@BcastDVR_OutputDebug@@QEAAXXZ                                                          0x4b2224be                                         
?PrintGuid@GameDVRUtility@Internal@Capture@Media@Windows@@YAJU_GUID@@PEAVString@25@@Z                0xb8fb2e55                                         
?PrintHRESULT@BcastDVR_OutputDebug@@QEAAXJ@Z                                                         0x594bc3fc                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBD0@Z                                                        0x34c89978                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDE@Z                                                        0x34c8f2cd                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDH@Z                                                        0x34c8ff90                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDI@Z                                                        0x34c903d1                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDK@Z                                                        0x34c90c53                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDN@Z                                                        0x34c91916                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDPEAX@Z                                                     0xfee31e96                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBDPEBG@Z                                                     0xfee362a6                                         
?PrintType@BcastDVR_OutputDebug@@QEAAXPEBD_K@Z                                                       0xcdf5ba12                                         
?Printf@BcastDVRLogProviderBase@@SAX_N0PEBD1HPEBGZZ                                                  0xa690cb47                                         
?RecreateStorageFile@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUIStorageFile@Storage@5@PEAPEAU675@@Z 0x1b79a9ae                                         
?RegGetDwordValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAXPEAUHKEY__@@PEBG1KPEAK@Z         0x4baef156                                         
?RegGetQwordValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAXPEAUHKEY__@@PEBG1_KPEA_K@Z       0x48e254a1                                         
?RegGetStringValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAXPEAUHKEY__@@PEBG1PEAVString@25@@Z 0x1c1c034b                                         
?RegSetBinaryValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEBG1PEBEK@Z        0x733053b4                                         
?RegSetDwordValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEBG1K@Z             0x3bf0d493                                         
?RegSetQwordValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEBG1_K@Z            0xf7bd2dff                                         
?RegSetStringValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEBG1PEAVString@25@@Z 0x3281db09                                         
?RegSetStringValue@GameDVRUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEBGPEBD2@Z         0x70a6129b                                         
?RegisterCallingPlugIn@PlugInUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@PEAUHSTRING__@@1AEBU_GUID@@@Z 0x60298c27                                         
?SetDefaultPlugIn@PlugInUtility@Internal@Capture@Media@Windows@@YAJPEAUHKEY__@@AEBU_GUID@@@Z         0x595f8ec0                                         
?Uninitialize@BcastDVR_OutputDebug@@SAXXZ                                                            0x0ce145e7                                         
ActiveMetadataManagerInstances                                                                       0x7f4ca245                                         
CreateCallerManagerInstance                                                                          0x8d88ba3c                                         
CreateCallerManagerInstanceForAppId                                                                  0x56116491                                         
CreateMetadataManagerInstance                                                                        0xce73e16a                                         
CreateMetadataManagerInstanceForAppId                                                                0x358fd9bf                                         
CreateMetadataManagerInstanceFromJson                                                                0x18868798                                         
FireCallerManagerEvent                                                                               0xeaf9995b                                         
FireCallerManagerEventForAppId                                                                       0xa502f2b0                                         
GetBroadcastSharedMemoryReader                                                                       0x0a68bbfb                                         
GetBroadcastSharedMemoryWriter                                                                       0x17026cc5                                         
GetPreviewSharedMemoryReader                                                                         0x009ee14a                                         
GetPreviewSharedMemoryWriter                                                                         0x0d389214                                         
