DLL Path: C:\Windows\System32\wbem\esscli.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CClassInfoArray@@QEAA@XZ                                                                          0x45fc0261                                         
??1CEvalTree@@QEAA@XZ                                                                                0x090a9759                                         
??1CMetaData@@UEAA@XZ                                                                                0x20f050a6                                         
??1CObjectInfo@@QEAA@XZ                                                                              0xb40d9904                                         
??1CPropertyProjectionFilter@@QEAA@XZ                                                                0x30aa02c9                                         
??1CReuseMemoryManager@@QEAA@XZ                                                                      0x6aac1899                                         
??1CSortedArray@@QEAA@XZ                                                                             0x8fb90271                                         
??1CStandardMetaData@@UEAA@XZ                                                                        0x57e48237                                         
??1CTempMemoryManager@@QEAA@XZ                                                                       0xaa5902ab                                         
??1CTimeKeeper@@QEAA@XZ                                                                              0x331345ac                                         
??4CClassInfoArray@@QEAA_NAEAV0@@Z                                                                   0x0bd14107                                         
??4CClassInformation@@QEAAAEAU0@AEBU0@@Z                                                             0x872976c1                                         
??4CContextMetaData@@QEAAAEAV0@AEBV0@@Z                                                              0x17bdcaad                                         
??4CEvalTree@@QEAAXAEBV0@@Z                                                                          0x8b058b0a                                         
??4CMetaData@@QEAAAEAV0@AEBV0@@Z                                                                     0x2458b528                                         
??4CObjectInfo@@QEAAAEAV0@AEBV0@@Z                                                                   0xf29e140a                                         
??4CPropertyProjectionFilter@@QEAAAEAV0@AEBV0@@Z                                                     0x9014d9ef                                         
??4CQueryAnalyser@@QEAAAEAV0@$$QEAV0@@Z                                                              0x26fa3733                                         
??4CQueryAnalyser@@QEAAAEAV0@AEBV0@@Z                                                                0x771f37fc                                         
??4CReuseMemoryManager@@QEAAAEAV0@AEBV0@@Z                                                           0x95177f7f                                         
??4CSortedArray@@QEAAXAEBV0@@Z                                                                       0x2e98ed42                                         
??4CStandardMetaData@@QEAAAEAV0@AEBV0@@Z                                                             0xffce5d19                                         
??4CTempMemoryManager@@QEAAAEAV0@AEBV0@@Z                                                            0x59da71f1                                         
??4CTimeKeeper@@QEAAAEAV0@$$QEAV0@@Z                                                                 0x85a34c69                                         
??4CTimeKeeper@@QEAAAEAV0@AEBV0@@Z                                                                   0x86f587b2                                         
??_7CEvalNode@@6B@                                                                                   0x59723882                                         
??_7CMetaData@@6B@                                                                                   0x9b87a3b5                                         
??_7CPropertyProjectionFilter@@6B@                                                                   0x7d97f75c                                         
??_7CStandardMetaData@@6B@                                                                           0x685949c6                                         
??_FCSortedArray@@QEAAXXZ                                                                            0xc1a24dbd                                         
?Add@CSortedArray@@QEAAH_K@Z                                                                         0x7087c5e4                                         
?AddClass@CClassInfoArray@@QEAA_NPEAUCClassInformation@@@Z                                           0x7fae3f70                                         
?AddDataFrom@CSortedArray@@QEAAJAEBV1@@Z                                                             0xcaad6899                                         
?AddDataFrom@CSortedArray@@QEAAJPEB_KI@Z                                                             0xa33a2674                                         
?AddProperty@CPropertyProjectionFilter@@QEAA_NAEBVCPropertyName@@@Z                                  0x4ec69583                                         
?AddRef@CMetaData@@UEAAKXZ                                                                           0x9f765f87                                         
?Allocate@CReuseMemoryManager@@QEAAPEAXXZ                                                            0xdb91a05c                                         
?Allocate@CTempMemoryManager@@QEAAPEAX_K@Z                                                           0x2b11cd80                                         
?AndDefiniteClassArrays@CQueryAnalyser@@KAJPEAVCClassInfoArray@@00@Z                                 0xe67be79f                                         
?AndPossibleClassArrays@CQueryAnalyser@@KAJPEAVCClassInfoArray@@00@Z                                 0xe1952938                                         
?AndQueryExpressions@CQueryAnalyser@@KAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@00@Z                          0xb3fe5025                                         
?AppendQueryExpression@CQueryAnalyser@@KAXPEAUQL_LEVEL_1_RPN_EXPRESSION@@0@Z                         0xa1298d55                                         
?ApplyPredicate@CEvalTree@@QEAAJPEAVCLeafPredicate@@@Z                                               0x3acaee0a                                         
?BuildFromToken@CEvalTree@@SAJPEAVCContextMetaData@@AEAVCImplicationList@@AEAUQL_LEVEL_1_TOKEN@@PEAPEAVCEvalNode@@@Z 0x4a4073b9                                         
?BuildTwoPropFromToken@CEvalTree@@SAJPEAVCContextMetaData@@AEAVCImplicationList@@AEAUQL_LEVEL_1_TOKEN@@PEAPEAVCEvalNode@@@Z 0x51219494                                         
?CanPointToClass@CQueryAnalyser@@SAJPEAUIWbemClassObject@@PEBG1PEAVCContextMetaData@@@Z              0x605ce6b9                                         
?Clear@CClassInfoArray@@QEAAXXZ                                                                      0xdca60091                                         
?Clear@CEvalTree@@QEAA_NXZ                                                                           0x6df3527d                                         
?Clear@CObjectInfo@@QEAAXXZ                                                                          0x683250b3                                         
?Clear@CReuseMemoryManager@@QEAAXXZ                                                                  0x17f87748                                         
?Clear@CStandardMetaData@@QEAAXXZ                                                                    0xf7f2dc22                                         
?Clear@CTempMemoryManager@@QEAAXXZ                                                                   0xfd2d2a7a                                         
?CloneNode@CEvalNode@@SAPEAV1@PEBV1@@Z                                                               0xe58293d5                                         
?Combine@CEvalTree@@SAJPEAVCEvalNode@@0HPEAVCContextMetaData@@AEAVCImplicationList@@_N3PEAPEAV2@@Z   0x9c795427                                         
?CombineLeafWithBranch@CEvalTree@@KAJPEAVCValueNode@@PEAVCBranchingNode@@HPEAVCContextMetaData@@AEAVCImplicationList@@_N4PEAPEAVCEvalNode@@@Z 0x58745247                                         
?CombineWith@CEvalTree@@QEAAJAEAV1@PEAVCContextMetaData@@HJ@Z                                        0x9840c449                                         
?Compare@CEvalTree@@SAHPEAVCEvalNode@@0@Z                                                            0xe4165a89                                         
?Compare@CSortedArray@@QEAAHAEAV1@@Z                                                                 0x612349a6                                         
?CompareRequestedToProvided@CQueryAnalyser@@SAHAEAVCClassInfoArray@@0@Z                              0x7b3a359c                                         
?CopyDataFrom@CSortedArray@@QEAAJAEBV1@@Z                                                            0xe2f2e8cb                                         
?CopyDataFrom@CSortedArray@@QEAAJPEB_KI@Z                                                            0xbb7fa6a6                                         
?CopyTo@CSortedArray@@QEAAIPEA_KI@Z                                                                  0x59bbf599                                         
?CreateFromConjunction@CEvalTree@@SAJPEAVCContextMetaData@@AEAVCImplicationList@@PEAVCConjunction@@PEAPEAVCEvalNode@@@Z 0x13d5031f                                         
?CreateFromDNF@CEvalTree@@QEAAJPEAVCContextMetaData@@AEAVCImplicationList@@PEAVCDNFExpression@@PEAPEAVCEvalNode@@@Z 0x26e3a84f                                         
?CreateFromQuery@CEvalTree@@QEAAJPEAVCContextMetaData@@PEAUQL_LEVEL_1_RPN_EXPRESSION@@JJ@Z           0x37e734af                                         
?CreateFromQuery@CEvalTree@@QEAAJPEAVCContextMetaData@@PEBGHPEAUQL_LEVEL_1_TOKEN@@JJ@Z               0xb016c877                                         
?CreateFromQuery@CEvalTree@@QEAAJPEAVCContextMetaData@@PEBGJJ@Z                                      0xf68e0fc0                                         
?CreateProjection@CEvalTree@@QEAAJAEAV1@PEAVCContextMetaData@@PEAVCProjectionFilter@@W4EProjectionType@@_N@Z 0x956a54bd                                         
?DecorateObject@CTimeKeeper@@QEAA_NPEAU_IWmiObject@@@Z                                               0xc0e53326                                         
?Empty@CSortedArray@@QEAAXXZ                                                                         0x585389a8                                         
?Evaluate@CEvalTree@@QEAAJPEAUIWbemObjectAccess@@AEAVCSortedArray@@@Z                                0x7baffc2a                                         
?Evaluate@CEvalTree@@SAJAEAVCObjectInfo@@PEAVCEvalNode@@AEAVCSortedArray@@@Z                         0xef8e69be                                         
?Find@CSortedArray@@QEAAI_K@Z                                                                        0xb1a940dd                                         
?Free@CReuseMemoryManager@@QEAAXPEAX@Z                                                               0x68c341b9                                         
?Free@CTempMemoryManager@@QEAAXPEAX_K@Z                                                              0x17fef1d5                                         
?GetArrayPtr@CSortedArray@@QEAAPEA_KXZ                                                               0x724d5116                                         
?GetAt@CSortedArray@@QEAA_KH@Z                                                                       0xe0acc4b0                                         
?GetClass@CClassInfoArray@@QEAAPEAUCClassInformation@@H@Z                                            0xaa4c6c02                                         
?GetClass@CContextMetaData@@QEAAJPEBGPEAPEAU_IWmiObject@@@Z                                          0x38800d8a                                         
?GetClass@CMetaData@@UEAAJPEBGPEAUIWbemContext@@PEAPEAUIWbemClassObject@@@Z                          0x2ec946e2                                         
?GetClass@CStandardMetaData@@UEAAJPEBGPEAUIWbemContext@@PEAPEAU_IWmiObject@@@Z                       0xcde3c1fe                                         
?GetDefiniteInstanceClasses@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@AEAPEAVCClassInfoArray@@@Z 0x9149eb83                                         
?GetInstanceClasses@CQueryAnalyser@@KAJAEAUQL_LEVEL_1_TOKEN@@AEAVCClassInfoArray@@@Z                 0xe799a430                                         
?GetLength@CObjectInfo@@QEAAJXZ                                                                      0x0d231620                                         
?GetLimitingQueryForInstanceClass@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@AEAUCClassInformation@@AEAPEAG@Z 0x75feade5                                         
?GetNecessaryQueryForClass@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@PEAUIWbemClassObject@@AEAVCWStringArray@@AEAPEAU2@@Z 0x3510945e                                         
?GetNecessaryQueryForProperty@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@AEAVCPropertyName@@AEAPEAU2@@Z 0x6409269a                                         
?GetNumClasses@CClassInfoArray@@QEAAHXZ                                                              0x63c1b178                                         
?GetObjectAt@CObjectInfo@@QEAAPEAU_IWmiObject@@J@Z                                                   0x762fff49                                         
?GetPossibleInstanceClasses@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@AEAPEAVCClassInfoArray@@@Z 0x0276759c                                         
?GetPropertiesThatMustDiffer@CQueryAnalyser@@KAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@AEAUCClassInformation@@AEAVCWStringArray@@@Z 0x25721898                                         
?GetType@CEvalNode@@SAHPEAV1@@Z                                                                      0xf4c9baea                                         
?InnerCombine@CEvalTree@@KAJPEAVCEvalNode@@0HPEAVCContextMetaData@@AEAVCImplicationList@@_N3PEAPEAV2@@Z 0xa78ce0fb                                         
?Insert@CSortedArray@@QEAAX_K@Z                                                                      0x85570f60                                         
?IsAllFalse@CEvalNode@@SA_NPEAV1@@Z                                                                  0x772bdb2d                                         
?IsAllFalse@CEvalNode@@UEAA_NXZ                                                                      0xa30f5110                                         
?IsFalse@CEvalTree@@QEAA_NXZ                                                                         0x67af503d                                         
?IsInSet@CPropertyProjectionFilter@@UEAA_NPEAVCEvalNode@@@Z                                          0x5291d5ee                                         
?IsInvalid@CEvalNode@@SA_NPEAV1@@Z                                                                   0xd39828d0                                         
?IsInvalid@CEvalNode@@UEAA_NXZ                                                                       0x31a84533                                         
?IsLimited@CClassInfoArray@@QEAAHXZ                                                                  0xc046631e                                         
?IsMergeAdvisable@CEvalTree@@SAJPEAVCEvalNode@@0AEAVCImplicationList@@@Z                             0xa1502410                                         
?IsNoop@CEvalNode@@SA_NPEAV1@H@Z                                                                     0x40940e2d                                         
?IsNoop@CEvalNode@@UEAA_NH@Z                                                                         0xfedc6e58                                         
?IsPropertyInClass@CQueryAnalyser@@KAHAEAVCPropertyName@@PEAUIWbemClassObject@@AEAVCWStringArray@@@Z 0x75a9c057                                         
?IsTokenAboutClass@CQueryAnalyser@@KAHAEAUQL_LEVEL_1_TOKEN@@PEAUIWbemClassObject@@AEAVCWStringArray@@@Z 0x61119d11                                         
?IsTokenAboutProperty@CQueryAnalyser@@KAHAEAUQL_LEVEL_1_TOKEN@@AEAVCPropertyName@@@Z                 0x2f7cb0ed                                         
?IsValid@CEvalTree@@QEAA_NXZ                                                                         0x5d6c9b82                                         
?NegateDefiniteClassArray@CQueryAnalyser@@KAJPEAVCClassInfoArray@@0@Z                                0x552ce27d                                         
?NegatePossibleClassArray@CQueryAnalyser@@KAJPEAVCClassInfoArray@@0@Z                                0x49a6e9d6                                         
?NegateQueryExpression@CQueryAnalyser@@KAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@0@Z                         0x99e0ba43                                         
?Optimize@CEvalNode@@UEAAJPEAVCContextMetaData@@PEAPEAV1@@Z                                          0x63082d0e                                         
?Optimize@CEvalTree@@QEAAJPEAVCContextMetaData@@@Z                                                   0x87880b01                                         
?OrDefiniteClassArrays@CQueryAnalyser@@KAJPEAVCClassInfoArray@@00@Z                                  0xcf5462ad                                         
?OrPossibleClassArrays@CQueryAnalyser@@KAJPEAVCClassInfoArray@@00@Z                                  0xca6da446                                         
?OrQueryExpressions@CQueryAnalyser@@KAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@00@Z                           0xc6b80f73                                         
?PrintOffset@CEvalNode@@SAXPEAU_iobuf@@H@Z                                                           0x1bf58fd6                                         
?Project@CEvalTree@@SAJPEAVCContextMetaData@@AEAVCImplicationList@@PEAVCEvalNode@@PEAVCProjectionFilter@@W4EProjectionType@@_NPEAPEAV4@@Z 0x864e4b19                                         
?QueryInterface@CMetaData@@UEAAJAEBU_GUID@@PEAPEAX@Z                                                 0xdc6c6478                                         
?Rebase@CEvalTree@@QEAAX_K@Z                                                                         0x712eee45                                         
?Rebase@CSortedArray@@QEAAX_K@Z                                                                      0x8435841d                                         
?Release@CMetaData@@UEAAKXZ                                                                          0xc02372a2                                         
?Remove@CSortedArray@@QEAA_N_K@Z                                                                     0xac38028e                                         
?RemoveClass@CClassInfoArray@@QEAAXH@Z                                                               0x20dd7e7e                                         
?RemoveIndex@CEvalTree@@QEAAJH@Z                                                                     0x7d584ec9                                         
?RoundUp@CTempMemoryManager@@IEAA_K_K@Z                                                              0xfc1c5a9c                                         
?SetBool@CEvalTree@@QEAA_NH@Z                                                                        0x76f7dbde                                         
?SetLength@CObjectInfo@@QEAA_NJ@Z                                                                    0xa428c801                                         
?SetLimited@CClassInfoArray@@QEAAXH@Z                                                                0x478d6d0e                                         
?SetObjectAt@CObjectInfo@@QEAAXJPEAU_IWmiObject@@@Z                                                  0x75d6cd4d                                         
?SetOne@CClassInfoArray@@QEAA_NPEBGH@Z                                                               0x79c59a7b                                         
?SetSize@CSortedArray@@QEAAXH@Z                                                                      0x1d86e870                                         
?SimplifyQueryForChild@CQueryAnalyser@@SAJPEAUQL_LEVEL_1_RPN_EXPRESSION@@PEBGPEAUIWbemClassObject@@PEAVCContextMetaData@@AEAPEAU2@@Z 0x5372bf32                                         
?SimplifyTokenForChild@CQueryAnalyser@@KAHAEAUQL_LEVEL_1_TOKEN@@PEBGPEAUIWbemClassObject@@PEAVCContextMetaData@@@Z 0x05c55642                                         
?Size@CSortedArray@@QEBAHXZ                                                                          0x5664a8e5                                         
?UnbindPtr@CSortedArray@@QEAAPEA_KXZ                                                                 0xdbb80597                                         
?UtilizeGuarantee@CEvalTree@@QEAAJAEAV1@PEAVCContextMetaData@@@Z                                     0x3b98e800                                         
?ValidateSQLDateTime@CQueryAnalyser@@KAHPEBG@Z                                                       0xc5f1a00f                                         
DllCanUnloadNow                                                                                      0x3cd7dcca                                         
DllGetClassObject                                                                                    0xa38ae8ee                                         
DllRegisterServer                                                                                    0x11369e1d                                         
DllUnregisterServer                                                                                  0xc0c1a320                                         
GetAccessMask                                                                                        0x11e8efe3                                         
IsUserAdministrator                                                                                  0xf8899f21                                         
IsUserInGroup                                                                                        0x4890be64                                         
