DLL Path: C:\Windows\System32\rtmpal.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CheckedMutex@auf@@QEAA@PEBD_N@Z                                                                   0xcdcad5e3                                         
?compareExchangeL@spl@@YA_NPECJJJ@Z                                                                  0x576038a0                                         
?compareExchangePI@spl@@YA_NPEC_J_J1@Z                                                               0x31c7f192                                         
?compareExchangeValI@spl@@YAHPECHHH@Z                                                                0x51cfe915                                         
?complete@SimpleBuffer@rtnet@@QEAAXXZ                                                                0x9e0515f0                                         
?connectTCPHostAsync@rtnet@@YA?AV?$IntrusivePtr@VAsyncOperation@auf@@@auf@@PEBDHAEBV?$IntrusivePtr@VThreadPoolTransport@auf@@@3@AEBV?$IntrusivePtr@VIStreamSocketDelegate@rtnet@@@3@PEAUAsyncTag@3@AEBV?$IntrusivePtr@VStreamSocketOptions@rtnet@@@3@AEBV?$IntrusivePtr@VStreamSocketConnectOptions@rtnet@@@3@I@Z 0x19adba56                                         
?connectedCore@IStreamSocketDelegate@rtnet@@AEAAXAEBV?$IntrusivePtr@VStreamSocket@rtnet@@@auf@@PEAUAsyncTag@4@@Z 0x03d82e8d                                         
?create@PortSpecificationImpl@internal@rtnet@@SAPEAV123@AEBU?$pair@HH@std@@@Z                        0xa2cd78f1                                         
?create@PortSpecificationImpl@internal@rtnet@@SAPEAV123@AEBV123@@Z                                   0x42ec735e                                         
?create@PortSpecificationImpl@internal@rtnet@@SAPEAV123@H@Z                                          0xf3c2fa92                                         
?create@PortSpecificationImpl@internal@rtnet@@SAPEAV123@HH@Z                                         0x6c226bda                                         
?create@SocketConnectOptionsImpl@internal@rtnet@@SAPEAV123@AEBV123@@Z                                0x37d42077                                         
?create@SocketConnectOptionsImpl@internal@rtnet@@SAPEAV123@XZ                                        0x7e0d397b                                         
?create@SocketOptionsImpl@internal@rtnet@@SAPEAV123@AEBV123@@Z                                       0x2ed0e34d                                         
?create@SocketOptionsImpl@internal@rtnet@@SAPEAV123@XZ                                               0x59778651                                         
?createStrand@auf@@YA?AV?$IntrusivePtr@VThreadPoolTransport@auf@@@1@W4ThreadPoolPriority@spl@@@Z     0xf4e7c89c                                         
?createStrandWithTransport@auf@@YA?AV?$IntrusivePtr@VThreadPoolTransport@auf@@@1@AEBV21@@Z           0x4c2e8938                                         
?createTimerWithTransport@auf@@YA?AV?$IntrusivePtr@VTimer@auf@@@1@AEBV?$IntrusivePtr@VThreadPoolTransport@auf@@@1@V?$duration@_JU?$ratio@$00$0PECEA@@std@@@chrono@std@@1PEAUCall@1@@Z 0x7a56e98d                                         
?createWithSize@SimpleBuffer@rtnet@@SA?AV?$IntrusivePtr@VSimpleBuffer@rtnet@@@auf@@_K@Z              0xf133b1d3                                         
?data@SimpleBuffer@rtnet@@QEAAPEAXXZ                                                                 0x5a5e5007                                         
?dataBarrier@spl@@YAXXZ                                                                              0xb69b97d8                                         
?dec@RefCounter@auf@@QEAAKXZ                                                                         0x43e13dfe                                         
?decodeToUtf16@spl@@YA?AV?$basic_string@_SU?$char_traits@_S@std@@V?$allocator@_S@2@@std@@PEBD_K@Z    0x9aca9bfe                                         
?decodeUtf8@spl@@YA_KPEAX_KPEBD11@Z                                                                  0xa8395411                                         
?decryptWithTempKey@spl@@YA?AV?$vector@DU?$secure_allocator@D@internal@spl@@@std@@PEBD_K@Z           0x549aeb6c                                         
?dequeue@LockfreeQueue@auf@@QEAAPEAXPEA_N@Z                                                          0xa9099c61                                         
?destroyCert@rtnet@@YAXPEAUX509Cert@1@@Z                                                             0xf600d8f5                                         
?directoryCreateRecursive@spl@@YA?AW4FileError@1@AEBVPath@1@H@Z                                      0xaeadec32                                         
?disconnect@StreamSocket@rtnet@@QEAAXXZ                                                              0x24e37112                                         
?done@ThreadRef@auf@@QEBA_NXZ                                                                        0x1a27ee93                                         
?dtlsAccept@rtnet@@YAHPEAUTlsSession@1@PEAUTlsBuf@1@1PEAX@Z                                          0x1cc7d492                                         
?dtlsConnect@rtnet@@YAHPEAUTlsSession@1@PEAUTlsBuf@1@1@Z                                             0x6b72895e                                         
?dtlsCreate@rtnet@@YAPEAUTlsSession@1@_NPEBUX509Cert@1@@Z                                            0xa7b62c71                                         
?dtlsDestroy@rtnet@@YAXPEAUTlsSession@1@@Z                                                           0xa7c75591                                         
?dtlsSrtpParametersFreeMkiBuffer@rtnet@@YAXPEAUDtlsSrtpParameters@1@@Z                               0x9e4ccdfe                                         
?dtorCore@SocketConnectOptions@rtnet@@AEAAXXZ                                                        0x3f9656a4                                         
?dtorCore@SocketOptions@rtnet@@AEAAXXZ                                                               0x4ee905ba                                         
?embedIPv4@IPv6@rtnet@@QEAA_NAEBVIPv4@2@_K@Z                                                         0xff177512                                         
?empty@LockfreeQueue@auf@@QEAA_NXZ                                                                   0xa68bdc36                                         
?encode@BASE64@spl@@SAXPEADPEBX_K@Z                                                                  0x1e88885f                                         
?encodeUtf8@spl@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEBX_K1@Z         0xb91b4c71                                         
?encodeUtf8@spl@@YA_KPEAD_KPEBX11@Z                                                                  0x118b3d3b                                         
?encodedLength@BASE64@spl@@SA_K_K@Z                                                                  0xad53fcee                                         
?encryptWithTempKey@spl@@YA?AV?$vector@DU?$secure_allocator@D@internal@spl@@@std@@PEBX_K@Z           0xc8e4a66a                                         
?enqueue@LockfreeQueue@auf@@QEAA_NPEAX@Z                                                             0x5dbcb7d5                                         
?exchangeI@spl@@YAHPECHH@Z                                                                           0xb97aaf43                                         
?exchangeL@spl@@YAJPECJJ@Z                                                                           0x4a8d204c                                         
?exchangePI@spl@@YA_JPEC_J_J@Z                                                                       0xc3a81d76                                         
?fileClose@spl@@YAXPEAX@Z                                                                            0xf26b1bc3                                         
?fileFlush@spl@@YA_NPEAX@Z                                                                           0x065ecf24                                         
?fileOpen@spl@@YAPEAXAEBVPath@1@W4FileSemantics@1@HAEAW4FileError@1@@Z                               0x38ff905b                                         
?fileRead@spl@@YA_JPEAX0_K@Z                                                                         0x1702e354                                         
?fileSeekNewReturned@spl@@YA_JPEAX_JW4SeekType@1@@Z                                                  0x2ca52188                                         
?fileSize@spl@@YA_JPEAX@Z                                                                            0x3338a2b9                                         
?fileTell@spl@@YA_JPEAX@Z                                                                            0x3ab5884f                                         
?fileWrite@spl@@YA_JPEAXPEBX_K@Z                                                                     0xa0aa8082                                         
?freeMem@LockfreePacker@auf@@SAXPEAX@Z                                                               0xfeff0516                                         
?fromBytes@IPv4@rtnet@@QEAA_NPEBE@Z                                                                  0x384cfcea                                         
?g_CPUTopology@spl@@3UCPUTopology@1@A                                                                0xb290a03d                                         
?g_aufUp@auf@@3HA                                                                                    0x27e5fe83                                         
?g_configGlobalLockfreeStackPoolSizeL2@auf@@3IA                                                      0xadcab53e                                         
?g_configMaxObjectWaitUs@auf@@3_KA                                                                   0x36a17894                                         
?g_configTraceFifoSizeL2@auf@@3IA                                                                    0x7d708105                                         
?g_logObjectCountChanges@auf@@3DA                                                                    0xf76cae19                                         
?g_logObjectIds@auf@@3DA                                                                             0xee48ae37                                         
?g_logObjectIds@internal@auf@@3DA                                                                    0xa2ae3994                                         
?g_logObjectLeaks@auf@@3DA                                                                           0x70cfcc87                                         
?g_logObjectLeaks@internal@auf@@3DA                                                                  0x6d6471e4                                         
?g_nextCallId@auf@@3IC                                                                               0xe3651ded                                         
?g_nextObjectId@auf@@3IC                                                                             0xc3ca9f08                                         
?g_objectCheckDisabled@auf@@3DA                                                                      0xd6af862b                                         
?g_sysInfo@spl@@3USysinfo@1@A                                                                        0x5ddc7c89                                         
?getCertHash@rtnet@@YA_NPEAUX509Cert@1@W4HashAlgorithm@spl@@PEAUCertHash@1@@Z                        0xd83e8b77                                         
?getDtlsSrtpParameters@rtnet@@YA_NPEAUTlsSession@1@PEAUDtlsSrtpParameters@1@@Z                       0xe755d9e9                                         
?getImp@ThreadRef@auf@@AEBAPEAUSplOpaqueUpperLayerThread@@XZ                                         0x3e95707c                                         
?getNat64Prefixes@rtnet@@YA_NV?$duration@_JU?$ratio@$00$0PECEA@@std@@@chrono@std@@AEAV?$vector@V?$IntrusivePtr@VInterfaceAddress@rtnet@@@auf@@V?$allocator@V?$IntrusivePtr@VInterfaceAddress@rtnet@@@auf@@@std@@@4@@Z 0x21272821                                         
?getSelfSignedCert@rtnet@@YAPEAUX509Cert@1@PEBUX509CertName@1@_J1W4HashAlgorithm@spl@@PEAX@Z         0x73a1f6c6                                         
?globalThreadPoolTransport2@auf@@YA?AV?$IntrusivePtr@VThreadPoolTransport@auf@@@1@W4ThreadPoolPriority@spl@@@Z 0x950512fe                                         
?highPrecisionTimestamp@spl@@YA_KXZ                                                                  0x10332389                                         
?inc@RefCounter@auf@@QEAAKXZ                                                                         0x4d76fe6c                                         
?initInternal@auf@@YA_NPEAUAufInitTag@1@PEBDI_K@Z                                                    0xb2a129e8                                         
?instantiateLogComponent@internal@auf@@YAPEAVLogComponent@2@PEBD@Z                                   0x9eeaeef8                                         
?intrusive_ptr_add_ref@auf@@YAXPEBVIReferenceCountable@1@@Z                                          0xc9549a41                                         
?intrusive_ptr_release@auf@@YAXPEBVIReferenceCountable@1@@Z                                          0x1b00a8fd                                         
?io@StreamSocket@rtnet@@QEAA?AV?$IntrusivePtr@VISocketIO@rtnet@@@auf@@XZ                             0x9a7f7829                                         
?isGood@Event@auf@@QEBA_NXZ                                                                          0x9fc5cd7f                                         
?isGood@LockfreeQueue@auf@@QEBA_NXZ                                                                  0xa9da640d                                         
?isGood@LockfreeStackPool@auf@@QEBA_NXZ                                                              0x2d8ee6d8                                         
?isGood@MutexCore@internal@auf@@QEBA_NXZ                                                             0xe4bdafb6                                         
?isGood@ThreadRef@auf@@QEBA_NXZ                                                                      0xe04449b2                                         
?localAddress@StreamSocket@rtnet@@QEAA?AV?$IntrusivePtr@VAddress@rtnet@@@auf@@XZ                     0xf542d0fe                                         
?localTime@spl@@YAHAEBUHidingSystemTime@1@PEAUtm@@@Z                                                 0x89b091ea                                         
?localTimestamp@spl@@YA?AUHidingSystemTime@1@XZ                                                      0xc7eefd4b                                         
?lock@MutexCore@internal@auf@@QEAAXXZ                                                                0x58362264                                         
?lockedByCurrentThread@MutexCore@internal@auf@@QEBA_NXZ                                              0x7a0d7c99                                         
?lockfreeStackPoolDeallocate@auf@@YAXPEAX@Z                                                          0x0bf50483                                         
?log@LogComponent@auf@@QEAAXPEBXIIAEBVLogArgs@2@@Z                                                   0xcccf60e1                                         
?log@LogComponent@auf@@QEAAXPEBXIIPEBDAEBVLogArgs@2@@Z                                               0x2578977c                                         
?logBackTraceInfo@spl@@YAXXZ                                                                         0x023c6765                                         
?logFlush@auf@@YAXXZ                                                                                 0xc0fdbe48                                         
?logvln@auf@@YAX_NPEBDPEAD@Z                                                                         0x59341dc0                                         
?make@ProxyInfo@rtnet@@SA?AV?$IntrusivePtr@VProxyInfo@rtnet@@@auf@@W4ProxyProtocol@2@PEBDI11@Z       0xd5b6e887                                         
?memFree@spl@@YAXPEAX@Z                                                                              0x2e949b2e                                         
?memMalloc@spl@@YAPEAX_K@Z                                                                           0x974bc956                                         
?memcpy_s@spl@@YAHPEAX_KPEBX1@Z                                                                      0xd872c6e4                                         
?memmove_s@spl@@YAHPEAX_KPEBX1@Z                                                                     0x34ba254f                                         
?memset_s@spl@@YAHPECX_KH1@Z                                                                         0x07a32c7f                                         
?msFromHp@spl@@YA_K_J@Z                                                                              0xbfd9a506                                         
?options@StreamSocket@rtnet@@QEBA?AV?$IntrusivePtr@VStreamSocketOptions@rtnet@@@auf@@XZ              0x94db84d5                                         
?pathAppendComponent@spl@@YA_NAEAVPath@1@PEBD1@Z                                                     0x3dfb6c73                                         
?pathFromFilename@spl@@YA_NAEAVPath@1@PEBD@Z                                                         0x0cddd28c                                         
?pathInitFromLocation@spl@@YA?AW4FileError@1@AEAVPath@1@AEBUPathLocation@1@@Z                        0x221be88a                                         
?pathStringValue@spl@@YAPEBDAEBVPath@1@@Z                                                            0x9e77943f                                         
?peerAddress@StreamSocket@rtnet@@QEAA?AV?$IntrusivePtr@VAddress@rtnet@@@auf@@XZ                      0x974f70bf                                         
?port@Address@rtnet@@QEBAHXZ                                                                         0x85207fef                                         
?post@Event@auf@@QEAAXXZ                                                                             0x8b3be90a                                         
?prefixLength@InterfaceAddress@rtnet@@QEBA_KXZ                                                       0x8148532d                                         
?raise@Flag@auf@@QEAA_NXZ                                                                            0x55ba0e45                                         
?randomBytes@auf@@YA_NPEAX_K@Z                                                                       0x551f5e41                                         
?randomUInt@XorshiftRNG@auf@@QEAAIXZ                                                                 0xff6c7a52                                         
?release@Flag@auf@@QEAAXXZ                                                                           0xc175c43d                                         
?setDone@ThreadRef@auf@@QEAAX_N@Z                                                                    0x9490a91e                                         
?setLogComponentDescription@internal@auf@@YAPEBDPEBD0@Z                                              0x76b6e85c                                         
?setLogComponentSafe@internal@auf@@YA_NPEBD_N@Z                                                      0x47b48a06                                         
?setNoDelayEnabled@StreamSocketOptions@rtnet@@QEAAX_N@Z                                              0xafc6480c                                         
?setOptions@StreamSocket@rtnet@@QEAA_NAEBV?$IntrusivePtr@VStreamSocketOptions@rtnet@@@auf@@@Z        0xfd2ae75d                                         
?setPortSpecification@SocketConnectOptions@rtnet@@QEAAXAEBV?$shared_ptr@VPortSpecification@rtnet@@@std@@@Z 0xc283230d                                         
?setProxy@SocketConnectOptions@rtnet@@QEAAXW4ProxyPolicy@2@AEBV?$IntrusivePtr@VProxyInfo@rtnet@@@auf@@@Z 0x29785f64                                         
?setQualityOfServiceDSCP@SocketOptions@rtnet@@QEAAXI@Z                                               0xa4a9915e                                         
?setTlsCertificateVerification@SocketOptions@rtnet@@QEAAX_N@Z                                        0xd2e3c8a2                                         
?size@SimpleBuffer@rtnet@@QEBA_KXZ                                                                   0x2681b205                                         
?sleep@spl@@YAX_K@Z                                                                                  0x3c24b722                                         
?snprintf_s@spl@@YAHPEAD_KPEBDZZ                                                                     0x04e8de8e                                         
?startImp@auf@@YAXPEAUSplOpaqueUpperLayerThread@@PEAUVarBase@spl@@@Z                                 0x660f8b44                                         
?startTlsAsync@StreamSocket@rtnet@@QEAAXPEBDPEAUAsyncTag@auf@@@Z                                     0xf473e26b                                         
?stop@ThreadRef@auf@@QEAA_NV?$duration@_JU?$ratio@$00$0PECEA@@std@@@chrono@std@@PEA_J@Z              0x838dcced                                         
?stopInternal@auf@@YAXPEAUAufInitTag@1@PEBD@Z                                                        0x56765212                                         
?strandId@ThreadPoolTransport@auf@@QEBA_KXZ                                                          0x9406b0ad                                         
?strcat_s@spl@@YAHPEAD_KPEBD@Z                                                                       0xda02b6b1                                         
?strcpy_s@spl@@YAHPEAD_KPEBD@Z                                                                       0xf9fee625                                         
?strlcpy@spl@@YA_KPEADPEBD_K@Z                                                                       0x298d08c1                                         
?strnlen_s@spl@@YA_KPEBD_K@Z                                                                         0x13784ece                                         
?symbolFromAddress@priv@spl@@YA_NPEBXPEAD_K@Z                                                        0x403d4178                                         
?sysInfoCPUInfo@spl@@YAXIAEAUCPUInfo@1@@Z                                                            0xe0815ac8                                         
?thread@pal@msrtc@@YA?AV0std@@$$QEAV?$function@$$A6AXXZ@3@@Z                                         0xdfae5c82                                         
?tlsBufAlloc@rtnet@@YA_NPEAUTlsBuf@1@K@Z                                                             0x748e85e4                                         
?tlsBufFree@rtnet@@YAXPEAUTlsBuf@1@@Z                                                                0xae1a77fb                                         
?tlsBufInit@rtnet@@YAXPEAUTlsBuf@1@@Z                                                                0x50ff372d                                         
?tlsGetPeerCert@rtnet@@YAPEAUX509Cert@1@PEAUTlsSession@1@@Z                                          0x6d8fd3e5                                         
?unlock@MutexCore@internal@auf@@QEAAXXZ                                                              0x63791067                                         
?utcHpTimestamp@spl@@YA_KXZ                                                                          0x3c74afc1                                         
?utcTimestamp@spl@@YA_JXZ                                                                            0xd40502c8                                         
?vsnprintf_s@spl@@YAHPEAD_KPEBD0@Z                                                                   0xf9e10f9a                                         
?wait@Event@auf@@QEAA_NV?$duration@_JU?$ratio@$00$0PECEA@@std@@@chrono@std@@@Z                       0x7a52fb6a                                         
?wait@Event@auf@@QEAA_N_K@Z                                                                          0x6047a8c0                                         
?wait@Flag@auf@@QEAA_NV?$duration@_JU?$ratio@$00$0PECEA@@std@@@chrono@std@@@Z                        0xcbc01862                                         
?weak_intrusive_ptr_add_ref@auf@@YAXPEAVWeakAuxiliary@1@@Z                                           0xe3c453d2                                         
?weak_intrusive_ptr_create@auf@@YAPEAVWeakAuxiliary@1@PEBVIReferenceCountable@1@@Z                   0x4132d87c                                         
?weak_intrusive_ptr_release@auf@@YAXPEAVWeakAuxiliary@1@@Z                                           0xb52b058e                                         
?x509NameDestroy@rtnet@@YAXPEAUX509CertName@1@@Z                                                     0x7f985eff                                         
?x509NameEncode@rtnet@@YAPEAUX509CertName@1@PEBD@Z                                                   0x2a149386                                         
AcquireCredentialsHandleW                                                                            0x3a1007a0                                         
AcquireSRWLockExclusive                                                                              0x53260d8c                                         
CreateFileA                                                                                          0xeb96c5fa                                         
CreateFileW                                                                                          0xeb96c610                                         
DecodePointer                                                                                        0xf50bccea                                         
DeleteSecurityContext                                                                                0x6a009735                                         
DisableThreadLibraryCalls                                                                            0x530574f5                                         
EnableTrace                                                                                          0x99a62e5b                                         
EncodePointer                                                                                        0xfcf91ed4                                         
EnumerateSecurityPackagesW                                                                           0xa3e93d99                                         
EventRegister                                                                                        0x88079b4c                                         
EventUnregister                                                                                      0xa3094b8f                                         
EventWrite                                                                                           0x5c5f3952                                         
FreeAddrInfoW                                                                                        0x21790385                                         
FreeContextBuffer                                                                                    0x33cef346                                         
FreeCredentialsHandle                                                                                0x1822a5e1                                         
GetAddrInfoW                                                                                         0x5ce1ab43                                         
GetLastError                                                                                         0x2082eae3                                         
GetSystemInfo                                                                                        0x8308eff6                                         
GetTempPathW                                                                                         0x9ef979ff                                         
GetTraceEnableFlags                                                                                  0x932f8608                                         
GetTraceEnableLevel                                                                                  0x93989b73                                         
GetTraceLoggerHandle                                                                                 0xaaa4c0c0                                         
GetVersionExW                                                                                        0x45c02eff                                         
InitializeSListHead                                                                                  0x63d7aa38                                         
InitializeSecurityContextW                                                                           0x4b4f0e4b                                         
InterlockedPopEntrySList                                                                             0x82a9ac09                                         
InterlockedPushEntrySList                                                                            0x38c3049a                                         
IsDebuggerPresent                                                                                    0xe6a24847                                         
MultiByteToWideChar                                                                                  0xe2fdda8e                                         
OutputDebugStringA                                                                                   0x79729f95                                         
OutputDebugStringW                                                                                   0x79729fab                                         
QueryPerformanceCounter                                                                              0xdb4e150d                                         
QueryPerformanceFrequency                                                                            0x40d0207f                                         
RaiseException                                                                                       0x8b8deae8                                         
RegCloseKey                                                                                          0x736b3702                                         
RegCreateKeyExA                                                                                      0x46ceb39e                                         
RegCreateKeyExW                                                                                      0x46ceb3b4                                         
RegDeleteKeyW                                                                                        0xfa08fff6                                         
RegEnumKeyExW                                                                                        0x6d0b1b75                                         
RegOpenKeyExA                                                                                        0x074a975c                                         
RegOpenKeyExW                                                                                        0x074a9772                                         
RegQueryValueExA                                                                                     0x6b95d114                                         
RegQueryValueExW                                                                                     0x6b95d12a                                         
RegSetValueExA                                                                                       0x345872ea                                         
RegSetValueExW                                                                                       0x34587300                                         
RegisterTraceGuidsW                                                                                  0x4b5c46ac                                         
ReleaseSRWLockExclusive                                                                              0x939d5323                                         
RtcPalAccept                                                                                         0x08ec5a9b                                         
RtcPalAcquireSlimLock                                                                                0xb971a3f3                                         
RtcPalAesEncrypt                                                                                     0x0eaf6b09                                         
RtcPalAllocAlignedMemoryWithTag                                                                      0xbe60af7b                                         
RtcPalAllocMemoryWithTag                                                                             0xab621187                                         
RtcPalAllocateWorkItem                                                                               0x876d08c2                                         
RtcPalBaseCleanup                                                                                    0x0807a2ae                                         
RtcPalBaseStartup                                                                                    0xea15bdb9                                         
RtcPalBind                                                                                           0x9f289948                                         
RtcPalCleanup                                                                                        0xd58c8cb3                                         
RtcPalClearAssertRecords                                                                             0x80e2a576                                         
RtcPalCloseSocket                                                                                    0xd3218d8a                                         
RtcPalCloseSocketIOCP                                                                                0x7d0aa335                                         
RtcPalCloseWaitableHandle                                                                            0x9ddab896                                         
RtcPalCoWaitForAnyObject                                                                             0x7ee04e18                                         
RtcPalConnect                                                                                        0xdd35db75                                         
RtcPalConnectToHostname                                                                              0xa3059e77                                         
RtcPalCreateCallContext                                                                              0x552e9060                                         
RtcPalCreateEvent                                                                                    0x6b9c4ac1                                         
RtcPalCreateSemaphore                                                                                0x1a3630e3                                         
RtcPalCreateSocket                                                                                   0xff4e0928                                         
RtcPalCreateSocketIOCP                                                                               0x9c27bdd3                                         
RtcPalCreateThread                                                                                   0x012ca5d7                                         
RtcPalCryptCleanup                                                                                   0x23cae5e5                                         
RtcPalCryptGenRandom                                                                                 0x2f206cd8                                         
RtcPalCryptHMACSHA1Create                                                                            0x18e74657                                         
RtcPalCryptHMACSHA1CreateKey                                                                         0xea1a8780                                         
RtcPalCryptHMACSHA1Destroy                                                                           0x657ef94d                                         
RtcPalCryptHMACSHA1DestroyKey                                                                        0xe573deb6                                         
RtcPalCryptHMACSHA1DupeContext                                                                       0x7ca64236                                         
RtcPalCryptHMACSHA1Final                                                                             0xf16ed00d                                         
RtcPalCryptHMACSHA1Update                                                                            0x42bf6446                                         
RtcPalCryptHMACSHA256Create                                                                          0x1feac763                                         
RtcPalCryptHMACSHA256CreateKey                                                                       0x7d00fd0c                                         
RtcPalCryptHMACSHA256Destroy                                                                         0x4cf29bd9                                         
RtcPalCryptHMACSHA256DestroyKey                                                                      0xd52905c2                                         
RtcPalCryptHMACSHA256DupeContext                                                                     0x63004ac2                                         
RtcPalCryptHMACSHA256Final                                                                           0x5e405f99                                         
RtcPalCryptHMACSHA256Update                                                                          0x49c2e552                                         
RtcPalCryptMD5Create                                                                                 0x30085e77                                         
RtcPalCryptMD5Destroy                                                                                0x60c3156d                                         
RtcPalCryptMD5Final                                                                                  0x5ebd642d                                         
RtcPalCryptMD5Update                                                                                 0x59e07c66                                         
RtcPalCryptStartup                                                                                   0x05d900f0                                         
RtcPalDeinitTracing                                                                                  0x30627ed0                                         
RtcPalDeleteSlimLock                                                                                 0xd1a2c4dc                                         
RtcPalDestroyAesKey                                                                                  0xa7867337                                         
RtcPalDeviceAudioGetGlitchInfo                                                                       0xec373614                                         
RtcPalDeviceAudioGetMetrics                                                                          0xed8d9424                                         
RtcPalDeviceAudioGetProcessingFeatures                                                               0x7ac18f09                                         
RtcPalDeviceAudioGetQueuedBytes                                                                      0x7793a67d                                         
RtcPalDeviceAudioGetSupportedProcessingCapacity                                                      0x5ba6d13e                                         
RtcPalDeviceAudioLockBuffer                                                                          0x91f9b8f0                                         
RtcPalDeviceAudioReset                                                                               0x614557b0                                         
RtcPalDeviceAudioSetActiveEndpoint                                                                   0x5015d3b6                                         
RtcPalDeviceAudioSetProcessingFeatures                                                               0x475d4d15                                         
RtcPalDeviceAudioStart                                                                               0x615f5efb                                         
RtcPalDeviceAudioStop                                                                                0x9e1a2b73                                         
RtcPalDeviceAudioUnlockBuffer                                                                        0x409a5773                                         
RtcPalDeviceErrorCodeFromHResult                                                                     0xdbaf9ffb                                         
RtcPalDeviceIsErrorCodeRecoverable                                                                   0x1521b626                                         
RtcPalDevicePlatformClose                                                                            0xd4fd6636                                         
RtcPalDevicePlatformCloseDevice                                                                      0x75bface6                                         
RtcPalDevicePlatformCloseHIDContext                                                                  0x53671d50                                         
RtcPalDevicePlatformCompareDeviceId                                                                  0x6ea15084                                         
RtcPalDevicePlatformCreateDeviceId                                                                   0xd0b0f9f1                                         
RtcPalDevicePlatformDeviceRegisterNotification                                                       0xaeb3429c                                         
RtcPalDevicePlatformDisposeDeviceId                                                                  0xd9be1834                                         
RtcPalDevicePlatformDuplicateDeviceId                                                                0x92480cf8                                         
RtcPalDevicePlatformEnableAudio                                                                      0xdea6bbb9                                         
